gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-06-05,060223_001,904297,9635,97,FALSE
2023-06-05,060223_002,999194,10295,62,FALSE
2023-06-05,060223_003,997709,10353,69,FALSE
2023-06-05,060223_004,951212,9665,55,FALSE
2023-06-05,060223_005,967497,9880,62,FALSE
2023-06-05,060223_006,962263,9765,61,FALSE
2023-06-05,060223_015,955664,9738,13844,FALSE
2023-06-05,060223_024,970283,10073,14227,FALSE
2023-06-06,060223_033,903780,9013,13070,FALSE
2023-06-06,060223_042,967061,9626,14126,FALSE
2023-06-06,060223_051,952138,9640,14028,FALSE
2023-06-06,060223_060,972818,10039,14438,FALSE
2023-06-06,060223_069,956537,9540,13991,FALSE
2023-06-06,060223_078,962154,9348,13816,FALSE
2023-06-06,060223_087,921816,9263,13429,FALSE
