CHAMBER,FILENAME,TIMEPOINT,NOTES
STD,06152023_002,STD,
STD,06152023_003,STD,
STD,06152023_004,STD,
STD,06152023_005,STD,
STD,06152023_006,STD,
STD,06152023_007,STD,
SW 1-1,06152023_008,T0,
SW 1-2,06152023_009,T0,
SW 1-3,06152023_010,T0,
SW 1-4,06152023_011,T0,
UP 1-1,06152023_012,T0,
UP 1-2,06152023_013,T0,
UP 1-3,06152023_014,T0,
UP 1-4,06152023_015,T0,
STD,06152023_016,STD,
SW 2-1,06152023_017,T0,
SW 2-2,06152023_018,T0,
SW 2-3,06152023_019,T0,
SW 2-4,06152023_020,T0,
UP 2-1,06152023_021,T0,
UP 2-2,06152023_022,T0,
UP 2-3,06152023_023,T0,
UP 2-4,06152023_024,T0,
STD,06152023_025,STD,
SW 1-1,06152023_026,T1,
SW 1-2,06152023_027,T1,
SW 1-3,06152023_028,T1,
SW 1-4,06152023_029,T1,
UP 1-1,06152023_030,T1,
UP 1-2,06152023_031,T1,
UP 1-3,06152023_032,T1,
UP 1-4,06152023_033,T1,
STD,06152023_034,STD,
SW 2-1,06152023_035,T1,
SW 2-2,06152023_036,T1,
SW 2-3,06152023_037,T1,
SW 2-4,06152023_038,T1,
UP 2-1,06152023_039,T1,
UP 2-2,06152023_040,T1,
UP 2-3,06152023_041,T1,
UP 2-4,06152023_042,T1,
STD,06152023_043,STD,
SW 1-1,06152023_044,T2,
SW 1-2,06152023_045,T2,
SW 1-3,06152023_046,T2,
SW 1-4,06152023_047,T2,
UP 1-1,06152023_048,T2,
UP 1-2,06152023_049,T2,
UP 1-3,06152023_050,T2,
UP 1-4,06152023_051,T2,
STD,06152023_052,STD,
SW 2-1,06152023_053,T2,
SW 2-2,06152023_054,T2,
SW 2-3,06152023_055,T2,
SW 2-4,06152023_056,T2,
UP 2-1,06152023_057,T2,
UP 2-2,06152023_058,T2,
UP 2-3,06152023_059,T2,
UP 2-4,06152023_060,T2,
STD,06152023_061,STD,
SW 1-1,06152023_062,T3,
SW 1-2,06152023_063,T3,
SW 1-3,06152023_064,T3,
SW 1-4,06152023_065,T3,
UP 1-1,06152023_066,T3,
UP 1-2,06152023_067,T3,
UP 1-3,06152023_068,T3,
UP 1-4,06152023_069,T3,
STD,06152023_070,STD,
SW 2-1,06152023_071,T3,
SW 2-2,06152023_072,T3,
SW 2-3,06152023_073,T3,
SW 2-4,06152023_074,T3,
UP 2-1,06152023_075,T3,
UP 2-2,06152023_076,T3,
UP 2-3,06152023_077,T3,
UP 2-4,06152023_078,T3,
STD,06152023_079,STD,
SW 1-1,06152023_080,T4,
SW 1-2,06152023_081,T4,
SW 1-3,06152023_082,T4,
SW 1-4,06152023_083,T4,
UP 1-1,06152023_084,T4,
UP 1-2,06152023_085,T4,
UP 1-3,06152023_086,T4,
UP 1-4,06152023_087,T4,
STD,06152023_088,STD,
SW 2-1,06152023_089,T4,
SW 2-2,06152023_090,T4,
SW 2-3,06152023_091,T4,
SW 2-4,06152023_092,T4,
UP 2-1,06152023_093,T4,
UP 2-2,06152023_094,T4,
UP 2-3,06152023_095,T4,
UP 2-4,06152023_096,T4,
