gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-05-24,051823_001,1109514,10500,17381,FALSE
2023-05-24,051823_003,967566,9966,14002,FALSE
2023-05-24,051823_004,977913,10074,14197,FALSE
2023-05-24,051823_005,926863,9235,13229,FALSE
2023-05-24,051823_006,959949,9810,13940,FALSE
2023-05-24,051823_024,966100,9934,14152,FALSE
2023-05-24,051823_033,986870,10219,438,FALSE
2023-05-24,051823_060,969143,9943,14247,FALSE
2023-05-24,051823_069,975310,10091,414,FALSE
2023-05-24,051823_087,973358,10106,62,FALSE
