gc_run_date,filename,co2_height,ch4_height,n2o_height
2022-09-09,220909_000,1057431,10531,18453
2022-09-09,220909_001,1051697,10477,17791
2022-09-09,220909_002,1038604,10360,17927
2022-09-09,220909_005,1047512,10425,17181
2022-09-09,220909_006,1022097,9951,16028
2022-09-09,220909_008,1043663,10394,16448
2022-09-09,220909_009,1032801,10326,16022
2022-09-09,220909_010,1037382,10329,16284
2022-09-09,220909_011,1048612,10405,16290
2022-09-09,220909_012,1037512,10377,16165
2022-09-13,220909_024,1040088,10222,15088
2022-09-13,220909_025,1042619,10396,15312
2022-09-13,220909_026,1038365,10417,15978
2022-09-13,220909_027,1038943,10347,15213
2022-09-13,220909_028,1042401,10437,15233
2022-09-13,220909_039,1022061,9966,14534
2022-09-14,220909_045,1032242,10014,14203
2022-09-14,220909_046,1050367,10457,14961
2022-09-14,220909_047,1041522,10536,15771
2022-09-14,220909_048,1036325,10398,15619
2022-09-14,220909_049,1037919,10456,14971
2022-09-14,220909_055,1058287,9993,14254
2022-09-14,220909_066,1089739,10176,15378
2022-09-15,220909_070,1051517,10410,15466
2022-09-15,220909_072,1054489,10452,15464
2022-09-15,220909_075,1009682,9838,14615
2022-09-15,220909_076,1052285,10401,15391
2022-09-15,220909_077,1052722,10396,15451
2022-09-15,220909_078,1049600,10358,15445
2022-09-15,220909_079,928277,9365,12763
2022-09-15,220909_090,1061893,9970,14932
2022-09-20,220909_092,1037967,10238,19824
2022-09-20,220909_093,1040498,10267,18422
2022-09-20,220909_094,1041379,10290,18240
2022-09-20,220909_095,1040812,10315,17968
2022-09-20,220909_106,1056386,9903,15644
2022-09-20,220909_117,1060191,9871,14865
