chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,NA,NA,NA,NA
SW 1-3,min_elapsed,NA,NA,NA,NA
SW 1-4,min_elapsed,NA,NA,NA,NA
SW 2-1,min_elapsed,7.76632293130812e-5,0.001540238970380291,0.0504228439914787,0.9629548315706902
SW 2-3,min_elapsed,0.001387774415878671,1.6483111735967856e-4,8.419371524676396,0.0035156371097488795
SW 2-4,min_elapsed,0.0011275811164009953,0.001049049687519575,1.0748595894128752,0.39489629179356944
UP 1-1,min_elapsed,0.0024197572236886685,1.7252869965809977e-4,14.0252446606501,7.849605806444587e-4
UP 1-2,min_elapsed,0.0020504507921151635,5.406256098114506e-4,3.79273707146482,0.032163073517170314
UP 1-3,min_elapsed,-6.418652143557899e-4,8.597212647409916e-4,-0.7465968805007571,0.5094911450496484
UP 1-4,min_elapsed,4.999736136805386e-4,0.001183285682022948,0.4225299277058627,0.7010942150606302
UP 2-1,min_elapsed,1.871616438658588e-4,7.25979695971275e-4,0.2578056175737238,0.8132301654692281
UP 2-2,min_elapsed,0.002332873727694633,7.585556205425286e-4,3.0754155193341424,0.054330902058501954
UP 2-3,min_elapsed,0.0024412221193737846,7.696823251209705e-4,3.1717268796449227,0.05041364631377802
UP 2-4,min_elapsed,-4.822475629878355e-4,4.953358926809295e-4,-0.973576859891466,0.40207307030111067
