date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
221102,SW,1,1,0,0:00:27,0.45
221102,SW,1,1,1,0:05:49,5.82
221102,SW,1,1,2,0:10:01,10.02
221102,SW,1,1,3,0:20:01,20.02
221102,SW,1,1,4,0:30:01,30.02
221102,SW,1,2,0,0:00:09,0.15
221102,SW,1,2,1,0:05:04,5.07
221102,SW,1,2,2,0:10:02,10.03
221102,SW,1,2,3,0:20:01,20.02
221102,SW,1,2,4,0:30:01,30.02
221102,SW,1,3,0,0:00:24,0.40
221102,SW,1,3,1,0:05:01,5.02
221102,SW,1,3,2,0:10:01,10.02
221102,SW,1,3,3,0:20:00,20.00
221102,SW,1,3,4,0:30:01,30.02
221102,SW,1,4,0,0:00:34,0.57
221102,SW,1,4,1,0:05:02,5.03
221102,SW,1,4,2,0:10:01,10.02
221102,SW,1,4,3,0:20:00,20.00
221102,SW,1,4,4,0:30:01,30.02
221102,SW,2,1,0,0:00:21,0.35
221102,SW,2,1,1,0:06:05,6.08
221102,SW,2,1,2,0:10:12,10.20
221102,SW,2,1,3,0:20:02,20.03
221102,SW,2,1,4,0:30:01,30.02
221102,SW,2,2,0,0:00:28,0.47
221102,SW,2,2,1,0:05:02,5.03
221102,SW,2,2,2,0:10:01,10.02
221102,SW,2,2,3,0:20:01,20.02
221102,SW,2,2,4,0:30:01,30.02
221102,SW,2,3,0,0:00:21,0.35
221102,SW,2,3,1,0:05:02,5.03
221102,SW,2,3,2,0:10:00,10.00
221102,SW,2,3,3,0:20:00,20.00
221102,SW,2,3,4,0:29:59,29.98
221102,SW,2,4,0,0:00:28,0.47
221102,SW,2,4,1,0:05:01,5.02
221102,SW,2,4,2,0:10:01,10.02
221102,SW,2,4,3,0:20:01,20.02
221102,SW,2,4,4,0:30:00,30.00
221102,UP,1,1,0,0:00:00,0.00
221102,UP,1,1,1,0:05:00,5.00
221102,UP,1,1,2,0:10:00,10.00
221102,UP,1,1,3,0:20:00,20.00
221102,UP,1,1,4,0:30:00,30.00
221102,UP,1,2,0,0:00:00,0.00
221102,UP,1,2,1,0:05:00,5.00
221102,UP,1,2,2,0:10:00,10.00
221102,UP,1,2,3,0:20:00,20.00
221102,UP,1,2,4,0:30:00,30.00
221102,UP,1,3,0,0:00:00,0.00
221102,UP,1,3,1,0:05:00,5.00
221102,UP,1,3,2,0:10:00,10.00
221102,UP,1,3,3,0:20:00,20.00
221102,UP,1,3,4,0:30:00,30.00
221102,UP,1,4,0,0:00:00,0.00
221102,UP,1,4,1,0:05:00,5.00
221102,UP,1,4,2,0:10:00,10.00
221102,UP,1,4,3,0:20:00,20.00
221102,UP,1,4,4,0:30:00,30.00
221102,UP,2,1,0,0:00:00,0.00
221102,UP,2,1,1,0:05:00,5.00
221102,UP,2,1,2,0:10:00,10.00
221102,UP,2,1,3,0:20:00,20.00
221102,UP,2,1,4,0:30:00,30.00
221102,UP,2,2,0,0:00:00,0.00
221102,UP,2,2,1,0:05:00,5.00
221102,UP,2,2,2,0:10:00,10.00
221102,UP,2,2,3,0:20:00,20.00
221102,UP,2,2,4,0:30:00,30.00
221102,UP,2,3,0,0:00:00,0.00
221102,UP,2,3,1,0:05:00,5.00
221102,UP,2,3,2,0:10:00,10.00
221102,UP,2,3,3,0:20:00,20.00
221102,UP,2,3,4,0:30:00,30.00
221102,UP,2,4,0,0:00:00,0.00
221102,UP,2,4,1,0:05:00,5.00
221102,UP,2,4,2,0:10:00,10.00
221102,UP,2,4,3,0:20:00,20.00
221102,UP,2,4,4,0:30:00,30.00
