gc_run_date,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,n_std_used,n_std_total,n_std_dropped_low,qc_flag
2022-12-20,944624.25,10485.5,16236,1.9478036665710063,1.9674629504683652,1.183038366050088,4,7,3,OK
2022-12-21,944135.1666666666,10365.833333333334,16090.666666666666,2.754177340809192,3.383214712798995,3.6411471941755202,6,7,1,WARN
2023-01-03,967662,10183.5,15986,0.8890150796368502,1.9928280669763747,1.9374000385318895,2,7,5,INSUFFICIENT_STD
2023-01-04,949231.2,10314.8,16772.8,0.5811137865075201,1.2186646774812964,1.5961913295017627,5,5,0,OK
