date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
220902,SW,1,1,0,0:00:49,0.82
220902,SW,1,1,1,0:09:14,9.23
220902,SW,1,1,2,0:14:32,14.53
220902,SW,1,1,3,0:22:26,22.43
220902,SW,1,1,4,0:31:06,31.10
220902,SW,1,2,0,0:01:17,1.28
220902,SW,1,2,1,0:07:08,7.13
220902,SW,1,2,2,0:12:28,12.47
220902,SW,1,2,3,0:21:32,21.53
220902,SW,1,2,4,0:31:30,31.50
220902,SW,1,3,0,0:00:35,0.58
220902,SW,1,3,1,0:06:19,6.32
220902,SW,1,3,2,0:14:49,14.82
220902,SW,1,3,3,0:20:50,20.83
220902,SW,1,3,4,0:31:00,31.00
220902,SW,1,4,0,0:00:38,0.63
220902,SW,1,4,1,0:06:06,6.10
220902,SW,1,4,2,0:19:41,19.68
220902,SW,1,4,3,0:20:55,20.92
220902,SW,1,4,4,0:30:52,30.87
220902,SW,2,1,0,0:06:22,6.37
220902,SW,2,1,1,0:11:58,11.97
220902,SW,2,1,2,0:16:23,16.38
220902,SW,2,1,3,0:26:34,26.57
220902,SW,2,1,4,0:36:33,36.55
220902,SW,2,2,0,0:05:33,5.55
220902,SW,2,2,1,0:10:45,10.75
220902,SW,2,2,2,0:15:42,15.70
220902,SW,2,2,3,0:25:44,25.73
220902,SW,2,2,4,0:35:45,35.75
220902,SW,2,3,0,0:05:03,5.05
220902,SW,2,3,1,0:10:29,10.48
220902,SW,2,3,2,0:15:17,15.28
220902,SW,2,3,3,0:25:17,25.28
220902,SW,2,3,4,0:35:19,35.32
220902,SW,2,4,0,0:04:17,4.28
220902,SW,2,4,1,0:09:43,9.72
220902,SW,2,4,2,0:14:51,14.85
220902,SW,2,4,3,0:24:30,24.50
220902,SW,2,4,4,0:34:34,34.57
220902,UP,1,1,0,0:01:00,1.00
220902,UP,1,1,1,0:06:00,6.00
220902,UP,1,1,2,0:11:00,11.00
220902,UP,1,1,3,0:23:00,23.00
220902,UP,1,1,4,0:31:00,31.00
220902,UP,1,2,0,0:00:00,0.00
220902,UP,1,2,1,0:05:00,5.00
220902,UP,1,2,2,0:10:00,10.00
220902,UP,1,2,3,0:22:00,22.00
220902,UP,1,2,4,0:30:00,30.00
220902,UP,1,3,0,0:01:00,1.00
220902,UP,1,3,1,0:06:00,6.00
220902,UP,1,3,2,0:11:00,11.00
220902,UP,1,3,3,0:21:00,21.00
220902,UP,1,3,4,0:31:00,31.00
220902,UP,1,4,0,0:00:00,0.00
220902,UP,1,4,1,0:05:00,5.00
220902,UP,1,4,2,0:10:00,10.00
220902,UP,1,4,3,0:20:00,20.00
220902,UP,1,4,4,0:30:00,30.00
220902,UP,2,1,0,0:00:00,0.00
220902,UP,2,1,1,0:05:00,5.00
220902,UP,2,1,2,0:10:00,10.00
220902,UP,2,1,3,0:20:00,20.00
220902,UP,2,1,4,0:30:00,30.00
220902,UP,2,2,0,0:01:00,1.00
220902,UP,2,2,1,0:06:00,6.00
220902,UP,2,2,2,0:11:00,11.00
220902,UP,2,2,3,0:21:00,21.00
220902,UP,2,2,4,0:31:00,31.00
220902,UP,2,3,0,0:01:00,1.00
220902,UP,2,3,1,0:06:00,6.00
220902,UP,2,3,2,0:11:00,11.00
220902,UP,2,3,3,0:21:00,21.00
220902,UP,2,3,4,0:31:00,31.00
220902,UP,2,4,0,0:01:00,1.00
220902,UP,2,4,1,0:06:00,6.00
220902,UP,2,4,2,0:11:00,11.00
220902,UP,2,4,3,0:21:00,21.00
220902,UP,2,4,4,0:31:00,31.00
