gc_run_date,filename,co2_height,ch4_height,n2o_height
2022-10-25,220902_003,1011374,9998,17605
2022-10-25,220902_005,1016135,10101,17214
2022-10-25,220902_018,1000511,9454,13644
2022-10-25,220902_029,1032180,10152,16091
2022-10-26,220902_043,1023419,10315,15790
2022-10-26,220902_055,1054492,10193,16572
2022-10-27,220902_067,1058313,10610,16265
2022-10-27,220902_068,1049207,10578,16280
2022-10-27,220902_069,1047535,10534,16167
2022-10-27,220902_070,1047937,10545,16301
2022-10-27,220902_081,1070226,10249,16538
2022-10-27,220902_092,1057504,10472,16475
