gc_run_date,filename,co2_height,ch4_height,n2o_height
2022-11-01,220916_003,1007749,10056,15143
2022-11-01,220916_004,1030607,10385,15709
2022-11-01,220916_006,1035552,10523,16236
2022-11-01,220916_008,1042949,10646,16240
2022-11-10,220916_012,976466,10024,15869
2022-11-10,220916_013,978307,9944,15951
2022-11-10,220916_014,987380,10030,16123
2022-11-10,220916_015,998019,10202,16125
2022-11-10,220916_016,1005338,10257,16216
2022-11-14,220916_026,1034287,10381,15313
2022-11-14,220916_028,1041195,10678,15737
2022-11-15,220916_040,1027841,10446,15810
2022-11-15,220916_043,1048057,10712,16521
2022-11-15,220916_044,1043226,10688,16474
2022-11-15,220916_045,1049143,10774,16673
2022-11-15,220916_067,1040328,10150,16163
2022-11-16,220916_073,1018005,10155,16169
2022-11-16,220916_074,1033581,10547,16700
2022-11-16,220916_075,1027304,10524,16497
2022-11-16,220916_076,1036443,10652,16737
2022-11-16,220916_077,1032468,10575,16667
2022-11-28,220916_090,1018655,10729,14693
2022-11-28,220916_091,1016111,10605,14882
2022-11-28,220916_093,1016448,10585,15119
2022-11-28,220916_104,1005542,10038,14854
2022-11-29,220916_125,974419,10113,15646
2022-11-29,220916_126,1007210,10534,16416
2022-11-29,220916_127,996629,10290,16295
2022-11-29,220916_129,995309,10323,16353
