date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
220916,SW,1,1,0,0:00:40,0.67
220916,SW,1,1,1,0:05:52,5.87
220916,SW,1,1,2,0:10:10,10.17
220916,SW,1,1,3,0:20:03,20.05
220916,SW,1,1,4,0:30:01,30.02
220916,SW,1,2,0,0:00:34,0.57
220916,SW,1,2,1,0:05:04,5.07
220916,SW,1,2,2,0:10:04,10.07
220916,SW,1,2,3,0:20:03,20.05
220916,SW,1,2,4,0:30:02,30.03
220916,SW,1,3,0,0:00:41,0.68
220916,SW,1,3,1,0:05:01,5.02
220916,SW,1,3,2,0:10:04,10.07
220916,SW,1,3,3,0:20:02,20.03
220916,SW,1,3,4,0:30:02,30.03
220916,SW,1,4,0,0:00:35,0.58
220916,SW,1,4,1,0:05:02,5.03
220916,SW,1,4,2,0:10:03,10.05
220916,SW,1,4,3,0:20:01,20.02
220916,SW,1,4,4,0:30:02,30.03
220916,SW,2,1,0,0:00:34,0.57
220916,SW,2,1,1,0:05:50,5.83
220916,SW,2,1,2,0:10:01,10.02
220916,SW,2,1,3,0:20:01,20.02
220916,SW,2,1,4,0:30:02,30.03
220916,SW,2,2,0,0:00:30,0.50
220916,SW,2,2,1,0:05:01,5.02
220916,SW,2,2,2,0:10:02,10.03
220916,SW,2,2,3,0:20:01,20.02
220916,SW,2,2,4,0:30:01,30.02
220916,SW,2,3,0,0:00:24,0.40
220916,SW,2,3,1,0:05:04,5.07
220916,SW,2,3,2,0:10:02,10.03
220916,SW,2,3,3,0:20:03,20.05
220916,SW,2,3,4,0:30:02,30.03
220916,SW,2,4,0,0:00:28,0.47
220916,SW,2,4,1,0:05:02,5.03
220916,SW,2,4,2,0:10:01,10.02
220916,SW,2,4,3,0:20:00,20.00
220916,SW,2,4,4,0:30:01,30.02
220916,UP,1,1,0,0:01:00,1.00
220916,UP,1,1,1,0:07:00,7.00
220916,UP,1,1,2,0:11:00,11.00
220916,UP,1,1,3,0:21:00,21.00
220916,UP,1,1,4,0:31:00,31.00
220916,UP,1,2,0,0:00:00,0.00
220916,UP,1,2,1,0:05:00,5.00
220916,UP,1,2,2,0:10:00,10.00
220916,UP,1,2,3,0:20:00,20.00
220916,UP,1,2,4,0:30:00,30.00
220916,UP,1,3,0,0:00:00,0.00
220916,UP,1,3,1,0:05:00,5.00
220916,UP,1,3,2,0:10:00,10.00
220916,UP,1,3,3,0:20:00,20.00
220916,UP,1,3,4,0:30:00,30.00
220916,UP,1,4,0,0:00:00,0.00
220916,UP,1,4,1,0:05:00,5.00
220916,UP,1,4,2,0:10:00,10.00
220916,UP,1,4,3,0:20:00,20.00
220916,UP,1,4,4,0:30:00,30.00
220916,UP,2,1,0,0:00:00,0.00
220916,UP,2,1,1,0:05:00,5.00
220916,UP,2,1,2,0:10:00,10.00
220916,UP,2,1,3,0:20:00,20.00
220916,UP,2,1,4,0:30:00,30.00
220916,UP,2,2,0,0:00:00,0.00
220916,UP,2,2,1,0:05:00,5.00
220916,UP,2,2,2,0:10:00,10.00
220916,UP,2,2,3,0:20:00,20.00
220916,UP,2,2,4,0:30:00,30.00
220916,UP,2,3,0,0:00:00,0.00
220916,UP,2,3,1,0:05:00,5.00
220916,UP,2,3,2,0:10:00,10.00
220916,UP,2,3,3,0:20:00,20.00
220916,UP,2,3,4,0:30:00,30.00
220916,UP,2,4,0,0:00:00,0.00
220916,UP,2,4,1,0:05:00,5.00
220916,UP,2,4,2,0:10:00,10.00
220916,UP,2,4,3,0:20:00,20.00
220916,UP,2,4,4,0:30:00,30.00
