plot,mean_wt_c,year
C14,3.9473684210526314,2020
C15,3.9875,1979
C15,4.7,1980
C15,4.839080459770115,1981
C15,4.890410958904109,1982
C15,5.238993710691824,1984
C15,5.393103448275862,1987
C15,4.365079365079365,1995
C15,3.9855072463768115,2005
C15,4.873015873015873,2020
C16,5.246153846153846,1979
C16,6.120481927710843,1980
C16,6.211111111111111,1981
C16,7.072164948453608,1982
C16,8.154838709677419,1984
C16,6.520710059171598,1987
C16,4.411764705882353,1995
C16,6.2727272727272725,2005
C16,4.428571428571429,2020
C17,4.970149253731344,1979
C17,4.507042253521127,1980
C17,4.891891891891892,1981
C17,4.805555555555555,1982
C17,6.220779220779221,1984
C17,5.787564766839378,1987
C17,5.543859649122807,1995
C17,5.527777777777778,2005
C17,5,2020
C18,7.012345679012346,1979
C18,6.456521739130435,1980
C18,6.51685393258427,1981
C18,6.3375,1982
C18,5.166666666666667,1984
C18,5.394230769230769,1987
C18,5.300884955752212,1995
C18,5.342723004694836,2005
C18,4.809523809523809,2020
C19,6.293103448275862,1979
C19,6.560975609756097,1980
C19,6.478260869565218,1981
C19,6.887640449438202,1982
C19,6.1171875,1984
C19,4.866666666666666,1987
C19,6.25,1995
C19,5.763440860215054,2005
C19,5,2020
C2,6.253333333333333,1979
C2,7.194444444444445,1980
C2,6.486486486486487,1981
C2,6.627659574468085,1982
C2,5.527272727272727,1984
C2,7.557894736842106,1987
C2,6.396551724137931,1995
C2,7.894736842105263,2005
C2,5.978102189781022,2020
C20,5.129411764705883,1979
C20,5.440860215053763,1980
C20,5.26984126984127,1981
C20,5.585365853658536,1982
C20,6.775700934579439,1984
C20,5.165413533834586,1987
C20,5.043478260869565,1995
C20,4.9397590361445785,2005
C20,4.903614457831325,2020
C21,3.3304347826086955,1979
C21,3.6742424242424243,1980
C21,3.9545454545454546,1981
C21,4.711711711711712,1982
C21,4.7272727272727275,1984
C21,4.547738693467337,1987
C21,5.121495327102804,1995
C21,6.345132743362832,2005
C21,5.912280701754386,2020
C22,5.125984251968504,1979
C22,5.71875,1980
C22,5.2465753424657535,1981
C22,5.1484375,1982
C22,5.779005524861878,1984
C22,7.170329670329671,1987
C22,4.991869918699187,1995
C22,4.670731707317073,2005
C22,5.5,2020
C23,6.090909090909091,1979
C23,4.649122807017544,1980
C23,5.408602150537634,1981
C23,5.855555555555555,1982
C23,6.956521739130435,1984
C23,5.996428571428571,1987
C23,6.260355029585799,1995
C23,6.5,2005
C23,3.5161290322580645,2020
C24,5.021052631578947,2005
C3,4.6075949367088604,1979
C3,4.206896551724138,1980
C3,4.495495495495495,1981
C3,5.0476190476190474,1982
C3,4.686746987951807,1984
C3,4.951612903225806,1987
C3,6.067226890756302,1995
C3,6.220338983050848,2005
C3,5.325,2020
C4,4.9523809523809526,1979
C4,4.03125,1980
C4,4.412844036697248,1981
C4,4.747474747474747,1982
C4,6.619047619047619,1984
C4,4.856060606060606,1987
C4,4.677165354330708,1995
C4,4.778761061946903,2005
C4,4.532608695652174,2020
C5,5.148148148148148,1979
C5,5.4353741496598635,1980
C5,5.613636363636363,1981
C5,4.345070422535211,1982
C5,5.242290748898679,1984
C5,6.464088397790055,1987
C5,5.890510948905109,1995
C5,6.788461538461538,2005
C5,7.011494252873563,2020
C6,7.504854368932039,1979
C6,7.75,1980
C6,7.225806451612903,1981
C6,7.6063829787234045,1982
C6,6.617486338797814,1984
C6,7.867704280155642,1987
C6,6.722222222222222,1995
C6,7.65,2005
C6,6.836538461538462,2020
C7,6.921686746987952,1979
C7,6.325714285714286,1980
C7,6.686567164179104,1981
C7,6.141025641025641,1982
C7,6.679611650485437,1984
C7,6.903614457831325,1987
C7,7.605263157894737,1995
C7,6.797872340425532,2005
C7,6.026490066225166,2020
C8,4.858156028368795,1979
C8,4.331428571428572,1980
C8,4.86144578313253,1981
C8,5.338235294117647,1982
C8,5.656626506024097,1984
C8,5.732456140350878,1987
C8,5.043478260869565,1995
C8,4.814516129032258,2005
C8,4.8,2020
C9,5.714285714285714,1979
C9,5.75,1980
C9,5.25,1981
C9,5.781818181818182,1982
C9,5.9,1984
C9,5.73469387755102,1987
C9,5.473684210526316,1995
C9,4.956521739130435,2005
C9,5.904761904761905,2020
D1,4.420454545454546,1979
D1,4.880434782608695,1980
D1,4.593023255813954,1981
D1,5.44,1982
D1,5.287671232876712,1984
D1,7.02020202020202,1987
D1,7.076086956521739,1995
D1,7.463414634146342,2005
D1,5.494252873563219,2020
D10,5.507692307692308,1979
D10,4.775700934579439,1980
D10,4.723404255319149,1981
D10,4.042105263157895,1982
D10,5.3884297520661155,1984
D10,5.2356020942408374,1987
D10,5.6068376068376065,1995
D10,5.0602409638554215,2005
D10,5.595238095238095,2020
D11,4.714285714285714,1979
D11,5.384615384615385,1980
D11,5.076335877862595,1981
D11,5.405940594059406,1982
D11,5.502923976608187,1984
D11,5.735955056179775,1987
D11,5.295302013422819,1995
D11,6.105263157894737,2005
D11,3.7567567567567566,2020
D12,4.884615384615385,1979
D12,3.9622641509433962,1980
D12,4.60377358490566,1981
D12,5.298701298701299,1982
D12,4.905172413793103,1984
D12,6.251336898395722,1987
D12,5.335260115606936,1995
D12,3.2896825396825395,2005
D12,4.694656488549619,2020
D13,5.652631578947369,1979
D13,5.403225806451613,1980
D13,5.472727272727273,1981
D13,5.94,1982
D13,3.883211678832117,1984
D13,6.963470319634703,1987
D13,7.088709677419355,1995
D13,6.282828282828283,2005
D13,3.9212121212121214,2020
D14,5.649484536082475,1979
D14,5.653846153846154,1980
D14,6.056451612903226,1981
D14,5.467391304347826,1982
D14,7.053691275167785,1984
D14,6.833333333333333,1987
D14,6.808988764044944,1995
D14,6.428571428571429,2005
D14,5.577464788732394,2020
D15,4.756410256410256,1979
D15,4.98989898989899,1980
D15,4.96039603960396,1981
D15,5.318181818181818,1982
D15,6.527027027027027,1984
D15,7.435406698564593,1987
D15,6.574074074074074,1995
D15,5.579617834394904,2005
D15,5.2153846153846155,2020
D16,5.848484848484849,1979
D16,6.1454545454545455,1980
D16,7.804347826086956,1981
D16,6.849624060150376,1982
D16,8.191489361702128,1984
D16,6.174863387978142,1987
D16,5.375,1995
D16,4.875,2005
D16,4.296296296296297,2020
D17,3.847826086956522,1979
D17,4.508196721311475,1980
D17,4.341176470588235,1981
D17,4.391304347826087,1982
D17,6.433070866141732,1984
D17,5.438502673796791,1987
D17,4.569620253164557,1995
D17,5.19672131147541,2005
D17,5,2020
D18,5.829787234042553,1979
D18,6.517241379310345,1980
D18,6.222222222222222,1981
D18,6.647058823529412,1982
D18,6.605263157894737,1984
D18,5.780487804878049,1987
D18,5.5,1995
D18,4.459183673469388,2005
D18,4.431034482758621,2020
D19,6.37037037037037,1979
D19,6.514705882352941,1980
D19,6.565217391304348,1981
D19,6.070422535211268,1982
D19,6.526315789473684,1984
D19,6.2265625,1987
D19,4.673913043478261,1995
D19,4.573770491803279,2005
D19,2.6,2020
D2,6.247311827956989,1979
D2,5.428571428571429,1980
D2,5.585858585858586,1981
D2,5.696969696969697,1982
D2,5.492063492063492,1984
D2,4.808510638297872,1987
D2,6.503875968992248,1995
D2,5.911764705882353,2005
D2,7.1584158415841586,2020
D20,5.811320754716981,1979
D20,5.323529411764706,1980
D20,5.8545454545454545,1982
D20,2.577777777777778,1984
D20,6.9625,1987
D20,3.3181818181818183,1995
D20,6,2005
D20,1.631578947368421,2020
D21,4.105263157894737,1979
D21,4.105263157894737,1980
D21,5.711111111111111,1981
D21,4.209677419354839,1982
D21,6.653061224489796,1984
D21,5.985611510791367,1987
D21,4.88,1995
D21,4.9423076923076925,2005
D21,4.3,2020
D22,7,1979
D22,7,1980
D22,6.819277108433735,1981
D22,6.89873417721519,1982
D22,6.882352941176471,1984
D22,6,1987
D22,4.952830188679245,1995
D22,4.787037037037037,2005
D22,5,2020
D23,2.8705882352941177,2005
D3,5.776923076923077,1979
D3,5.4953271028037385,1980
D3,6.178217821782178,1981
D3,5.877358490566038,1982
D3,5.333333333333333,1984
D3,6.664948453608248,1987
D3,6.133689839572193,1995
D3,7.639097744360902,2005
D3,7.9298245614035086,2020
D4,4.684210526315789,1979
D4,4.6347826086956525,1980
D4,4.69,1981
D4,5.325581395348837,1982
D4,5.583850931677019,1984
D4,4.451219512195122,1987
D4,4.598639455782313,1995
D4,3.4056603773584904,2005
D4,4.127659574468085,2020
D5,7.318181818181818,1979
D5,7.214285714285714,1980
D5,8.048780487804878,1981
D5,8.244897959183673,1982
D5,7.953846153846154,1984
D5,8.296,1987
D5,7.886666666666667,1995
D5,7.869230769230769,2005
D5,7.28,2020
D6,5.066666666666666,1979
D6,4.857142857142857,1980
D6,5.6761904761904765,1981
D6,4.938144329896907,1982
D6,5.872727272727273,1984
D6,5.847368421052631,1987
D6,5.982608695652174,1995
D6,6.8,2005
D6,5.988888888888889,2020
D7,4.6138613861386135,1979
D7,4.954887218045113,1980
D7,5.2100840336134455,1981
D7,5.467391304347826,1982
D7,5.885869565217392,1984
D7,7.441471571906354,1987
D7,6.196969696969697,1995
D7,6.483050847457627,2005
D7,5.114503816793893,2020
D8,5.128712871287129,1979
D8,4.541176470588235,1980
D8,4.435185185185185,1981
D8,5.097560975609756,1982
D8,5.397435897435898,1984
D8,5.324742268041237,1987
D8,4.724489795918367,1995
D8,2.644230769230769,2005
D8,4.525974025974026,2020
D9,6.068493150684931,1979
D9,6.01123595505618,1980
D9,5.957746478873239,1981
D9,5.809523809523809,1982
D9,6.023255813953488,1984
D9,5.805555555555555,1987
D9,5.679245283018868,1995
D9,5.6976744186046515,2005
D9,5.1125,2020
E1,4.087719298245614,1979
E1,3.6557377049180326,1980
E1,4.223880597014926,1981
E1,4.1,1982
E1,4.6525423728813555,1984
E1,4.253164556962025,1987
E1,5.7368421052631575,1995
E1,6.540229885057471,2005
E1,5.589285714285714,2020
E10,4.020833333333333,1979
E10,3.957983193277311,1980
E10,3.874125874125874,1981
E10,3.6354166666666665,1982
E10,4.716535433070866,1984
E10,5.234285714285714,1987
E10,5.611940298507463,1995
E10,5.260869565217392,2005
E10,5.166666666666667,2020
E11,5.434210526315789,1979
E11,4.641025641025641,1980
E11,4.194444444444445,1981
E11,5.901234567901234,1982
E11,5.64957264957265,1984
E11,6.244897959183674,1987
E11,5.7975460122699385,1995
E11,4.952127659574468,2005
E11,5.25,2020
E12,5.991304347826087,1979
E12,6.4,1980
E12,5.710280373831775,1981
E12,6.352941176470588,1982
E12,5.734463276836158,1984
E12,6.035242290748899,1987
E12,5.46078431372549,1995
E12,7.076190476190476,2005
E12,5.0989010989010985,2020
E13,6.747474747474747,1979
E13,7.224719101123595,1980
E13,7.115384615384615,1981
E13,8.136986301369863,1982
E13,6.821917808219178,1984
E13,7.813253012048193,1987
E13,7.5607476635514015,1995
E13,8.084745762711865,2005
E13,6.544776119402985,2020
E14,8.805194805194805,1979
E14,8.660377358490566,1980
E14,8.304347826086957,1981
E14,8.26,1982
E14,7.633540372670807,1984
E14,7.87192118226601,1987
E14,8.382513661202186,1995
E14,6.3776223776223775,2005
E14,6.194805194805195,2020
E15,3.8153846153846156,1979
E15,2.7520661157024793,1980
E15,3.04375,1981
E15,3.7610619469026547,1982
E15,5.488151658767772,1984
E15,5.885714285714286,1987
E15,6.782608695652174,1995
E15,5.247863247863248,2005
E15,4.533898305084746,2020
E16,5.5,1979
E16,5.260504201680672,1980
E16,5.56687898089172,1981
E16,5.083969465648855,1982
E16,5.8108108108108105,1984
E16,6.606796116504855,1987
E16,5.2988505747126435,1995
E16,4.024793388429752,2005
E16,4.151515151515151,2020
E17,5.6347826086956525,1979
E17,3.8134328358208953,1980
E17,4.3841807909604515,1981
E17,3.4017857142857144,1982
E17,5.979310344827586,1984
E17,4.704663212435233,1987
E17,3.684684684684685,1995
E17,2.7459016393442623,2005
E17,4.417021276595745,2020
E18,3.8529411764705883,1979
E18,3.4792899408284024,1980
E18,3.4310344827586206,1981
E18,3.090909090909091,1982
E18,4.390243902439025,1984
E18,3.729957805907173,1987
E18,3.886178861788618,1995
E18,2.488888888888889,2005
E18,2.116788321167883,2020
E19,2.9272727272727272,1979
E19,4.104166666666667,1980
E19,3.287671232876712,1981
E19,3.4545454545454546,1982
E19,5.51948051948052,1984
E19,5.519685039370079,1987
E19,3.142857142857143,1995
E19,2.426605504587156,2005
E19,3.6470588235294117,2020
E2,7.170731707317073,1979
E2,7.6235294117647054,1980
E2,6.686567164179104,1981
E2,7.170212765957447,1982
E2,5.6893939393939394,1984
E2,7.761904761904762,1987
E2,7.223529411764706,1995
E2,6.666666666666667,2005
E2,6.176470588235294,2020
E20,6,1979
E20,6.586206896551724,1980
E20,6.7272727272727275,1981
E20,6.25,1982
E20,5,1984
E20,4.846153846153846,1987
E20,2.9814814814814814,1995
E20,5.466666666666667,2005
E20,4.5,2020
E21,6.217391304347826,1979
E21,6.1571428571428575,1980
E21,6.3076923076923075,1981
E21,6.181818181818182,1982
E21,6.547826086956522,1984
E21,4.95575221238938,1987
E21,3.7169811320754715,1995
E21,4.381578947368421,2005
E21,5,2020
E22,1.4567901234567902,1979
E22,1.4574468085106382,1980
E22,5.269662921348314,1981
E22,2.7195121951219514,1982
E22,5.92638036809816,1984
E22,3.745614035087719,1987
E22,3.891566265060241,1995
E22,3.807017543859649,2005
E22,5.083333333333333,2020
E3,5.38,1979
E3,5.3924050632911396,1980
E3,5.312,1981
E3,5.974137931034483,1982
E3,5.842105263157895,1984
E3,7.333333333333333,1987
E3,5.980769230769231,1995
E3,6.711538461538462,2005
E3,7.871559633027523,2020
E4,6.927272727272728,1979
E4,6.416107382550336,1980
E4,6.7593984962406015,1981
E4,6.193181818181818,1982
E4,5.192982456140351,1984
E4,5.525714285714286,1987
E4,6.041916167664671,1995
E4,7.475177304964539,2005
E4,5.54054054054054,2020
E5,3.375,1979
E5,4.269565217391304,1980
E5,4.679245283018868,1981
E5,5.166666666666667,1982
E5,3.1058823529411765,1984
E5,4.430939226519337,1987
E5,3.5288461538461537,1995
E5,5.122448979591836,2005
E5,3.8666666666666667,2020
E6,4.991304347826087,1979
E6,4.817460317460317,1980
E6,5,1981
E6,4.867256637168142,1982
E6,5.3125,1984
E6,5.601063829787234,1987
E6,5.3977272727272725,1995
E6,6.522875816993464,2005
E6,8.542553191489361,2020
E7,6.917355371900826,1979
E7,6.3768115942028984,1980
E7,6.9801324503311255,1981
E7,6.87719298245614,1982
E7,5.909090909090909,1984
E7,6.895287958115183,1987
E7,6.51304347826087,1995
E7,6.721649484536083,2005
E7,5.821596244131455,2020
E8,5.914634146341464,1979
E8,5.876288659793815,1980
E8,5.944444444444445,1981
E8,5.782608695652174,1982
E8,4.894117647058824,1984
E8,5.7272727272727275,1987
E8,5.4033613445378155,1995
E8,5.636363636363637,2005
E8,2.56,2020
E9,5.873239436619718,1979
E9,5.875,1980
E9,5.785714285714286,1981
E9,5.756756756756757,1982
E9,6.033783783783784,1984
E9,5.5234375,1987
E9,5.577319587628866,1995
E9,5.030927835051546,2005
E9,3.5,2020
F fence,2.7976190476190474,2005
F1,3.255813953488372,1979
F1,3.4132231404958677,1980
F1,3.9178082191780823,1981
F1,3.985611510791367,1982
F1,3.783582089552239,1984
F1,4.440476190476191,1987
F1,5.612676056338028,1995
F1,5.589285714285714,2005
F1,3.909090909090909,2020
F10,4.775280898876405,1979
F10,4.2905982905982905,1980
F10,4.702970297029703,1981
F10,4.802631578947368,1982
F10,4.010752688172043,1984
F10,3.3431952662721893,1987
F10,5.231132075471698,1995
F10,4.963541666666667,2005
F10,4.924812030075188,2020
F11,5.957446808510638,1979
F11,5.756410256410256,1980
F11,5.446601941747573,1981
F11,5.014925373134329,1982
F11,4.390909090909091,1984
F11,6.451388888888889,1987
F11,6.401129943502825,1995
F11,5.583892617449664,2005
F11,4.716129032258064,2020
F12,3.1192660550458715,1979
F12,2.4318181818181817,1980
F12,3.2095238095238097,1981
F12,5.287234042553192,1982
F12,5.711711711711712,1984
F12,5.2700729927007295,1987
F12,4.417391304347826,1995
F12,4.605263157894737,2005
F12,3.542372881355932,2020
F13,5.571428571428571,1979
F13,5.476190476190476,1980
F13,5.398148148148148,1981
F13,5.66,1982
F13,6.992647058823529,1984
F13,2.4692307692307693,1987
F13,4.157303370786517,1995
F13,4.849462365591398,2005
F13,4.843601895734597,2020
F14,6.444444444444445,1979
F14,6.168067226890757,1980
F14,6.6875,1981
F14,6.880434782608695,1982
F14,6.858333333333333,1984
F14,7.412935323383085,1987
F14,7.228813559322034,1995
F14,7.111111111111111,2005
F14,6.503759398496241,2020
F15,5.594594594594595,1979
F15,6.27027027027027,1980
F15,5.608695652173913,1981
F15,6.105263157894737,1982
F15,6.178343949044586,1984
F15,7.483870967741935,1987
F15,8.48611111111111,1995
F15,4.836363636363636,2005
F15,5.115107913669065,2020
F16,3.7475728155339807,1979
F16,3.7636363636363637,1980
F16,4.718446601941747,1981
F16,4.1875,1982
F16,5.0423728813559325,1984
F16,4.448275862068965,1987
F16,6.630252100840337,1995
F16,5.5,2005
F16,5.244897959183674,2020
F17,6.219512195121951,2005
F17,4.961240310077519,2020
F18,2.731707317073171,1979
F18,2.636986301369863,1980
F18,2.2857142857142856,1981
F18,1.8818181818181818,1982
F18,2.0431654676258995,1984
F18,2.988721804511278,1987
F18,3.816793893129771,1995
F18,3.960698689956332,2005
F18,2.7635135135135136,2020
F2,4.315789473684211,1979
F2,4.140740740740741,1980
F2,5.009345794392523,1981
F2,4.67,1982
F2,5.198473282442748,1984
F2,6.380530973451328,1987
F2,6.921052631578948,1995
F2,5.806818181818182,2005
F2,5.785046728971962,2020
F20,4.378640776699029,1979
F20,5.051724137931035,1980
F20,5.02542372881356,1981
F20,4.8173076923076925,1982
F20,2.6607142857142856,1984
F20,4.821917808219178,1987
F20,4.571428571428571,1995
F20,3.753012048192771,2005
F20,4.35,2020
F3,6.24375,1979
F3,6.256578947368421,1980
F3,5.595238095238095,1981
F3,5.197080291970803,1982
F3,5.174242424242424,1984
F3,4.969298245614035,1987
F3,7.111111111111111,1995
F3,6.807228915662651,2005
F3,6.887931034482759,2020
F4,7.03960396039604,1979
F4,7.086956521739131,1980
F4,7.247311827956989,1981
F4,7.457142857142857,1982
F4,6.4879518072289155,1984
F4,8.258278145695364,1987
F4,6.462121212121212,1995
F4,7.166666666666667,2005
F4,7.349206349206349,2020
F5,8.961904761904762,1979
F5,7.947368421052632,1980
F5,8.708333333333334,1981
F5,8.196078431372548,1982
F5,5.864285714285714,1984
F5,7.017647058823529,1987
F5,8.787234042553191,1995
F5,7.952941176470588,2005
F5,6.421875,2020
F6,5.014084507042254,1979
F6,5.08,1980
F6,5.546511627906977,1981
F6,6.67816091954023,1982
F6,7.159090909090909,1984
F6,7.8969696969696965,1987
F6,8,1995
F6,5.666666666666667,2005
F6,5.795454545454546,2020
F7,6.887096774193548,1979
F7,6.4147727272727275,1980
F7,6.656488549618321,1981
F7,6.7555555555555555,1982
F7,5.370786516853933,1984
F7,6.192139737991266,1987
F7,6.738095238095238,1995
F7,5.657534246575342,2005
F7,5.483870967741935,2020
F8,4.626016260162602,1979
F8,5.276729559748428,1980
F8,5.25,1981
F8,5.059259259259259,1982
F8,3.4493927125506074,1984
F8,4.862857142857143,1987
F8,5.28125,1995
F8,4.971223021582734,2005
F8,4.742857142857143,2020
F9,5.37962962962963,1979
F9,5.394160583941606,1980
F9,5.027027027027027,1981
F9,5.6173913043478265,1982
F9,6.141361256544503,1984
F9,5.109289617486339,1987
F9,5.412162162162162,1995
F9,4.436619718309859,2005
F9,4.0476190476190474,2020
G1,2.8450704225352115,1979
G1,3.156862745098039,1980
G1,3.2323232323232323,1981
G1,3.323529411764706,1982
G1,3.5546218487394956,1984
G1,4.535714285714286,1987
G1,5.130952380952381,1995
G1,5.428571428571429,2005
G1,7.213333333333333,2020
G10,5.03921568627451,1979
G10,4.641025641025641,1980
G10,4.902654867256637,1981
G10,4.866666666666666,1982
G10,5.45662100456621,1984
G10,5.009756097560976,1987
G10,4.558620689655172,1995
G10,4.2835820895522385,2005
G10,4.536082474226804,2020
G11,2.9836065573770494,1979
G11,3.4696969696969697,1980
G11,3.5945945945945947,1981
G11,4.9743589743589745,1982
G11,4.2063492063492065,1984
G11,4.055045871559633,1987
G11,4.233918128654971,1995
G11,3.8260869565217392,2005
G11,3.3157894736842106,2020
G12,5.095238095238095,1979
G12,4.9734513274336285,1980
G12,4.873015873015873,1981
G12,4.98989898989899,1982
G12,5.512,1984
G12,5.369127516778524,1987
G12,5.033057851239669,1995
G12,3.4482758620689653,2005
G12,2.2244897959183674,2020
G13,3.3058823529411763,1979
G13,2.578125,1980
G13,3.3098591549295775,1981
G13,3.3452380952380953,1982
G13,5.36,1984
G13,3.5308641975308643,1987
G13,4.609589041095891,1995
G13,3.0681818181818183,2005
G13,1.2380952380952381,2020
G14,4.520325203252033,1979
G14,4.83125,1980
G14,4.1678832116788325,1981
G14,4.330578512396694,1982
G14,5.105263157894737,1984
G14,5.169811320754717,1987
G14,4.746753246753247,1995
G14,5.326923076923077,2005
G14,4.805882352941176,2020
