plot,mean_wt_c,year,total_cover,total_richness,richness_change
C8,4.8,2020,130,11,-7
D11,3.76,2020,74,11,-7
B11,3.41,2020,107,8,-7
L1,2.44,2020,111,5,-7
A20,1.91,2020,107,6,-7
B20,6.21,2020,160,8,-8
G9,6,2020,111,11,-8
G7,5.65,2020,95,11,-8
F7,5.48,2020,124,9,-8
H2,5.38,2020,60,11,-8
E17,4.42,2020,235,8,-8
F1,3.91,2020,77,14,-8
B21,3.28,2020,287,6,-8
B24,2.54,2020,204,5,-8
E18,2.12,2020,137,5,-8
L6,1.8,2020,106,7,-8
B1,6.24,2020,51,11,-9
D14,5.58,2020,71,13,-9
B14,1.99,2020,167,8,-9
A1,1.2,2020,65,5,-9
A11,2.88,2020,34,4,-10
A8,0.98,2020,41,4,-10
A14,2,2020,33,5,-11
D17,5,2020,100,1,-12
A6,0.6,2020,5,2,-12
C21,5.91,2020,114,6,-13
C17,5,2020,100,1,-13
I1,5.95,2020,57,7,-14
C18,4.81,2020,105,2,-16
