plot,mean_wt_c,year,total_cover,total_richness,change_in_c
C6,6.84,2020,208,17,-0.6600000000000001
B12,4.32,2020,103,9,-0.6600000000000001
J8,6.33,2020,85,9,-0.7199999999999998
F13,4.84,2020,211,9,-0.7300000000000004
C16,4.43,2020,133,13,-0.8200000000000003
G3,6.35,2020,136,15,-0.8400000000000007
C7,6.03,2020,151,19,-0.8899999999999997
E12,5.1,2020,91,12,-0.8900000000000006
K4,3.93,2020,116,11,-0.9499999999999997
D11,3.76,2020,74,11,-0.9500000000000002
J5,5.93,2020,114,13,-0.96
D9,5.11,2020,80,5,-0.96
B16,4.33,2020,116,12,-0.9799999999999995
I8,5.72,2020,122,13,-0.9800000000000004
E2,6.18,2020,136,17,-0.9900000000000002
J1,1.42,2020,127,8,-1.02
A6,0.6,2020,5,2,-1.02
G7,5.65,2020,95,11,-1.08
E7,5.82,2020,213,16,-1.0999999999999996
A13,0.9,2020,126,8,-1.12
E17,4.42,2020,235,8,-1.21
E21,5,2020,100,2,-1.2199999999999998
F11,4.72,2020,155,18,-1.2400000000000002
C19,5,2020,75,1,-1.29
C11,4.86,2020,118,11,-1.3099999999999996
F9,4.05,2020,126,8,-1.33
E16,4.15,2020,99,11,-1.3499999999999996
B9,4.4,2020,25,3,-1.3699999999999992
E4,5.54,2020,185,13,-1.3899999999999997
L7,0.97,2020,38,10,-1.39
D18,4.43,2020,58,3,-1.4000000000000004
F7,5.48,2020,124,9,-1.4099999999999993
J6,5.13,2020,122,14,-1.4400000000000004
B17,3.22,2020,199,11,-1.4899999999999998
E20,4.5,2020,100,2,-1.5
L4,1.03,2020,138,7,-1.51
D16,4.3,2020,189,17,-1.5499999999999998
B5,5.35,2020,111,14,-1.6100000000000003
K8,2.31,2020,172,8,-1.62
A2,0.75,2020,16,6,-1.67
B10,3.78,2020,111,11,-1.6700000000000004
L6,1.8,2020,106,7,-1.6900000000000002
E18,2.12,2020,137,5,-1.73
D13,3.92,2020,165,13,-1.7300000000000004
I4,4.23,2020,86,9,-1.7599999999999998
B14,1.99,2020,167,8,-1.8
A12,2.32,2020,231,11,-1.8900000000000001
A3,0.23,2020,43,8,-1.9100000000000001
D22,5,2020,100,1,-2
G13,1.24,2020,210,4,-2.0700000000000003
K5,4.15,2020,65,11,-2.17
C18,4.81,2020,105,2,-2.2
C13,3.75,2020,162,15,-2.2
K11,2.35,2020,161,11,-2.32
E9,3.5,2020,48,4,-2.37
G6,4.35,2020,162,11,-2.3900000000000006
I11,2.11,2020,123,10,-2.43
F5,6.42,2020,64,13,-2.540000000000001
C23,3.52,2020,93,9,-2.57
E14,6.19,2020,154,18,-2.62
K2,3.07,2020,95,10,-2.81
H6,3.88,2020,129,14,-2.83
G12,2.22,2020,98,7,-2.8799999999999994
K7,2.97,2020,128,11,-2.9199999999999995
K12,1.08,2020,143,9,-2.9799999999999995
B7,3.11,2020,138,8,-3.0900000000000003
K3,3.78,2020,104,9,-3.22
E8,2.56,2020,125,4,-3.35
L5,0.75,2020,106,7,-3.62
D19,2.6,2020,100,3,-3.77
L3,1.75,2020,53,6,-3.99
B6,4.53,2020,103,9,-4.0200000000000005
D20,1.63,2020,95,2,-4.18
K6,1.67,2020,115,11,-4.23
