chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,34.69893709239287,1.0779121569484247,32.190876472370206,6.58818268143882e-5
SW 1-2,min_elapsed,32.671603903533395,3.357708016745242,9.730329063931908,0.002305773609204425
SW 1-3,min_elapsed,34.814928142243375,1.2404515080676204,28.066335455932645,9.929614129305449e-5
SW 1-4,min_elapsed,43.921340707489456,0.5348274404185661,82.12245181944252,3.979726684035082e-6
SW 2-1,min_elapsed,48.743717697143744,12.45858948529688,3.912458770286082,0.02967372895997155
SW 2-2,min_elapsed,35.042976581347716,3.2360450338535194,10.828952074136662,0.001684756188046228
SW 2-3,min_elapsed,23.834809167668958,1.5500421102109687,15.37687848004653,5.974384363569951e-4
SW 2-4,min_elapsed,45.129249115509914,3.941369661237263,11.450143730325228,0.0014296822236309044
UP 1-1,min_elapsed,32.91946472904628,1.8517162187067555,17.777813034460184,3.880707213811749e-4
UP 1-2,min_elapsed,28.573895573321526,2.004442022966038,14.255286631358787,7.480010859270902e-4
UP 1-3,min_elapsed,29.122574847958948,2.43882380979088,11.941237710999754,0.0012631808183130523
UP 1-4,min_elapsed,29.140107222521603,2.054621027067828,14.182716344584367,7.594059444279944e-4
UP 2-1,min_elapsed,26.31728900106652,1.2331975146789997,21.340692539359267,2.251245546168976e-4
UP 2-2,min_elapsed,26.611521815791708,2.3417198852068393,11.364092684143206,0.0014618089014764143
UP 2-3,min_elapsed,14.67610733267842,3.8907178084153022,3.7720821851780686,0.0326193175825818
UP 2-4,min_elapsed,36.43047126952703,2.51126986251815,14.506792684158901,7.101936253800824e-4
