gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2022-11-29,220930_011,982920,10231,376,FALSE
2022-11-29,220930_012,995081,10476,16560,FALSE
2022-11-29,220930_023,991460,10260,545,FALSE
2022-11-30,220930_029,941110,9583,14519,FALSE
2022-11-30,220930_030,1011422,10625,16469,FALSE
2022-11-30,220930_031,1005350,10448,16424,FALSE
2022-11-30,220930_032,1010452,10591,418,FALSE
2022-11-30,220930_033,991307,10254,16287,FALSE
2022-11-30,220930_044,1013244,10682,16964,FALSE
2022-11-30,220930_055,1007370,10186,17195,FALSE
2022-12-02,220930_072,959405,9855,15642,FALSE
2022-12-02,220930_073,979054,10219,603,FALSE
2022-12-02,220930_074,983774,10317,16364,FALSE
2022-12-02,220930_076,989005,10404,234,FALSE
2022-12-02,220930_085,987577,10339,238,FALSE
