gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-08-24,070623_001,952661,9900,12589,FALSE
2023-08-24,070623_003,958963,9946,725,FALSE
2023-08-24,070623_004,939702,9648,12350,FALSE
2023-08-24,070623_005,945244,9758,12381,FALSE
2023-08-24,070623_006,933192,9597,12258,FALSE
2023-08-24,070623_015,947559,9854,859,FALSE
2023-08-24,070623_024,936798,9692,13121,FALSE
2023-08-24,070623_033,952125,9903,777,FALSE
2023-08-24,070623_042,948718,9922,790,FALSE
2023-08-24,070623_051,950221,9868,812,FALSE
2023-08-24,070623_060,950986,9923,13137,FALSE
2023-08-24,070623_069,940914,9942,13204,FALSE
2023-08-24,070623_078,950492,9916,13138,FALSE
2023-08-24,070623_087,926200,9682,99,FALSE
