gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2022-09-26,220722_002,1005853,9840,592,FALSE
2022-09-26,220722_003,1021525,10094,16217,FALSE
2022-09-26,220722_004,1023193,10118,15816,FALSE
2022-09-26,220722_005,1029829,10187,15809,FALSE
2022-09-26,220722_006,1032087,10235,15642,FALSE
2022-09-26,220722_017,1064067,10303,540,FALSE
2022-09-28,220722_032,1060898,10484,15383,FALSE
2022-09-28,220722_043,1092954,10350,15636,FALSE
2022-09-29,220722_059,1048661,10500,15767,FALSE
2022-09-29,220722_073,1052626,10429,16207,FALSE
2022-10-05,220722_095,1033190,10206,201,FALSE
