gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-06-23,152023_002,914851,9747,642,FALSE
2023-06-23,152023_003,934212,10043,14710,FALSE
2023-06-23,152023_004,932493,10069,14246,FALSE
2023-06-23,152023_005,922318,9817,14086,FALSE
2023-06-23,152023_006,909649,9777,14107,FALSE
2023-06-23,152023_007,929519,9965,14664,FALSE
2023-06-23,152023_016,949269,10321,15060,FALSE
2023-06-23,152023_025,928328,9950,14433,FALSE
2023-06-23,152023_034,934474,10025,671,FALSE
2023-06-23,152023_043,934945,10118,14611,FALSE
2023-06-23,152023_052,912346,9684,14201,FALSE
2023-06-23,152023_061,905649,9605,14283,FALSE
2023-06-23,152023_070,949873,10283,14995,FALSE
2023-06-23,152023_079,941749,10209,14953,FALSE
2023-06-23,152023_088,919886,9756,14468,FALSE
