gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-08-29,080223_001,1025183,10838,13235,FALSE
2023-08-29,080223_002,957845,9702,12182,FALSE
2023-08-29,080223_003,941158,9736,12225,FALSE
2023-08-29,080223_004,934983,9510,12033,FALSE
2023-08-29,080223_005,971281,10494,12775,FALSE
2023-08-29,080223_006,972837,9729,12512,FALSE
2023-08-29,080223_015,970803,10582,12716,FALSE
2023-08-29,080223_024,933902,9299,11864,FALSE
2023-08-29,080223_033,972594,10790,13213,FALSE
2023-08-29,080223_042,962067,9536,12896,FALSE
2023-08-29,080223_051,952919,10284,12230,FALSE
2023-08-29,080223_060,969915,10715,12682,FALSE
2023-08-29,080223_069,956648,10304,12458,FALSE
2023-08-29,080223_078,939339,9790,12068,FALSE
2023-08-29,080223_087,955407,9628,12454,FALSE
