gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-08-28,071823_001,957725,9966,60,FALSE
2023-08-28,071823_003,985662,10570,46,FALSE
2023-08-28,071823_004,965282,10043,11460,FALSE
2023-08-28,071823_005,954769,9908,54,FALSE
2023-08-28,071823_006,1006980,9869,11587,FALSE
2023-08-28,071823_015,975097,10399,11846,FALSE
2023-08-28,071823_024,979293,10525,12170,FALSE
2023-08-28,071823_033,952703,9985,11665,FALSE
2023-08-28,071823_042,967318,10431,12181,FALSE
2023-08-28,071823_051,951014,9776,11591,FALSE
2023-08-28,071823_060,955663,9827,12810,FALSE
2023-08-28,071823_069,948281,9944,11896,FALSE
2023-08-28,071823_078,970628,10488,12320,FALSE
2023-08-28,071823_087,996576,9823,12051,FALSE
