gc_run_date,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,n_std_used,n_std_total,n_std_dropped_low,qc_flag
2023-08-30,969942.4166666666,10112.5,12768.583333333334,3.014044153184466,4.915083926850074,2.6256897658775786,12,13,1,WARN
2023-08-31,975325.1428571428,10125.42857142857,12722.142857142857,2.4332209019216364,4.5222368342534525,2.0677918770228167,7,7,0,WARN
