gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2023-08-30,081823_002,946444,9708,12445,FALSE
2023-08-30,081823_003,965507,10282,12835,FALSE
2023-08-30,081823_004,998417,9674,12577,FALSE
2023-08-30,081823_005,960411,10352,12805,FALSE
2023-08-30,081823_006,968697,10485,13001,FALSE
2023-08-30,081823_015,1006336,9557,12363,FALSE
2023-08-30,081823_024,975395,10783,13212,FALSE
2023-08-30,081823_033,961892,10566,13055,FALSE
2023-08-30,081823_042,1023857,9673,12621,FALSE
2023-08-30,081823_051,912092,9294,12158,FALSE
2023-08-30,081823_060,965659,10606,13143,FALSE
2023-08-30,081823_069,954602,10370,13008,FALSE
2023-08-31,081823_078,958060,9385,12339,FALSE
2023-08-31,081823b_001,964651,10101,12653,FALSE
2023-08-31,081823b_002,974636,10533,13074,FALSE
2023-08-31,081823b_003,964161,10058,12575,FALSE
2023-08-31,081823b_004,1025470,9881,12830,FALSE
2023-08-31,081823b_005,981853,10817,13012,FALSE
2023-08-31,081823b_006,958445,10103,12572,FALSE
