plot,mean_wt_c,year,total_cover,total_richness
C15,4.7,1980,90,22
F10,4.7,1981,101,19
E17,4.7,1987,193,16
B8,4.7,1987,292,22
B12,4.69,1980,118,13
D4,4.69,1981,100,15
C3,4.69,1984,83,9
D12,4.69,2020,131,17
D4,4.68,1979,95,14
E5,4.68,1981,106,10
K12,4.68,1987,250,17
C4,4.68,1995,127,15
K11,4.67,1979,155,12
F2,4.67,1982,100,21
K8,4.67,1982,145,13
B20,4.67,1987,201,18
D19,4.67,1995,92,6
C22,4.67,2005,164,6
C23,4.65,1980,171,13
H4,4.65,1980,79,18
E1,4.65,1984,118,12
K8,4.65,1995,161,7
I19,4.65,2020,75,4
E11,4.64,1980,117,17
G10,4.64,1980,117,13
B18,4.64,1995,139,16
F8,4.63,1979,123,14
D4,4.63,1980,115,14
I11,4.63,1980,113,11
H8,4.63,1981,147,13
B11,4.63,1995,140,12
J18,4.63,2005,123,4
G2,4.62,1981,69,16
B10,4.62,1995,99,7
D7,4.61,1979,101,14
C3,4.61,1979,79,11
B13,4.61,1982,114,18
G13,4.61,1995,146,6
B15,4.61,1995,128,8
H8,4.61,2005,70,11
H16,4.61,2005,108,7
F12,4.61,2005,114,12
I2,4.6,1979,96,10
D12,4.6,1981,106,19
H3,4.6,1984,144,10
L4,4.6,1987,166,9
B18,4.6,1987,208,16
D4,4.6,1995,147,11
K4,4.6,1995,119,10
D1,4.59,1981,86,23
F20,4.57,1995,98,7
D17,4.57,1995,79,11
D19,4.57,2005,61,7
L4,4.56,1980,94,6
G10,4.56,1995,145,16
J3,4.55,1981,108,16
B2,4.55,1984,168,10
C21,4.55,1987,199,16
I11,4.54,1979,94,11
H9,4.54,1979,133,15
D8,4.54,1980,85,15
G1,4.54,1987,112,11
I19,4.54,2005,90,4
G10,4.54,2020,97,16
B4,4.53,1980,115,18
B17,4.53,1981,143,20
F19,4.53,2005,85,8
B6,4.53,2020,103,9
E15,4.53,2020,118,15
C4,4.53,2020,184,13
D8,4.53,2020,154,10
G14,4.52,1979,123,15
B17,4.52,1980,109,17
B4,4.52,1982,81,16
B5,4.52,1984,240,14
H4,4.52,1984,161,14
B12,4.52,1987,219,16
D17,4.51,1980,61,18
C17,4.51,1980,71,17
C3,4.5,1981,111,18
K5,4.5,2005,160,8
E20,4.5,2020,100,2
C13,4.48,1984,225,12
H19,4.48,2005,130,8
J3,4.47,1980,104,11
B22,4.47,1981,107,16
K9,4.46,1987,152,14
C14,4.46,1995,87,15
H3,4.46,1995,155,16
B19,4.46,1995,136,13
D18,4.46,2005,98,7
F21,4.45,1980,85,7
K8,4.45,1984,240,18
H6,4.45,1987,11,5
D4,4.45,1987,164,15
B11,4.45,1987,196,17
F16,4.45,1987,145,18
B13,4.45,2005,139,12
C12,4.44,1980,110,12
D8,4.44,1981,108,18
F1,4.44,1987,168,16
B11,4.44,2005,118,8
F9,4.44,2005,71,7
E5,4.43,1987,181,19
D18,4.43,2020,58,3
C16,4.43,2020,133,13
D1,4.42,1979,88,18
B24,4.42,1995,152,12
F12,4.42,1995,115,8
J9,4.42,1995,149,20
H1,4.42,1995,118,19
H14,4.42,2020,79,12
E17,4.42,2020,235,8
C4,4.41,1981,109,20
H3,4.41,1982,97,16
C16,4.41,1995,272,16
J3,4.4,1979,102,11
J9,4.4,1984,136,12
B9,4.4,2020,25,3
D17,4.39,1982,69,22
F11,4.39,1984,110,10
E18,4.39,1984,205,16
B17,4.39,2005,210,9
F20,4.38,1979,103,6
E17,4.38,1981,177,19
C1,4.38,1982,85,11
H8,4.38,1984,168,10
J8,4.38,1987,308,26
E21,4.38,2005,76,4
H19,4.38,2020,39,8
H8,4.38,2020,117,16
L5,4.37,1979,102,12
C15,4.37,1995,63,11
B19,4.37,2005,153,11
F21,4.36,1979,78,7
J8,4.36,1984,309,20
C5,4.35,1982,142,22
H20,4.35,2005,92,7
F20,4.35,2020,100,4
G6,4.35,2020,162,11
D17,4.34,1981,85,20
K6,4.34,2005,116,10
C8,4.33,1980,175,19
B14,4.33,1980,137,19
G14,4.33,1982,121,22
B16,4.33,2020,116,12
J2,4.33,2020,98,16
F2,4.32,1979,114,18
I12,4.32,1980,113,10
B14,4.32,1981,139,22
J3,4.32,2020,96,7
B8,4.32,2020,106,10
B12,4.32,2020,103,9
H4,4.31,1982,80,19
B21,4.31,1987,168,12
B16,4.31,2005,118,6
F21,4.31,2005,151,7
F19,4.31,2020,80,4
B1,4.3,1981,67,20
D21,4.3,2020,100,4
D16,4.3,2020,189,17
B13,4.29,1979,112,16
F10,4.29,1980,117,18
B12,4.29,1984,156,12
H9,4.29,1984,156,17
I11,4.28,1981,129,14
I11,4.28,1987,155,13
G10,4.28,2005,67,12
J13,4.28,2005,127,5
E5,4.27,1980,115,10
K4,4.27,1982,100,18
B11,4.26,1981,135,16
G2,4.26,1982,99,18
I11,4.26,1984,154,12
J2,4.26,1987,95,3
C13,4.26,2005,122,11
H3,4.25,1981,113,14
E1,4.25,1987,79,11
G16,4.25,1987,105,17
I10,4.24,1982,123,21
B21,4.24,1984,202,15
C1,4.24,1984,83,8
B16,4.24,1984,208,14
J1,4.24,1987,148,9
K11,4.23,1980,163,18
B19,4.23,1981,120,16
G11,4.23,1995,171,10
I4,4.23,2020,86,9
E1,4.22,1981,67,18
A12,4.21,1979,126,8
I10,4.21,1979,97,15
C3,4.21,1980,87,14
J10,4.21,1982,89,19
D21,4.21,1982,62,5
K9,4.21,1984,153,10
G11,4.21,1984,63,8
B12,4.2,1981,126,13
H4,4.2,1995,181,16
E11,4.19,1981,108,17
B13,4.19,1981,106,16
F21,4.19,1981,85,5
F16,4.19,1982,96,14
H2,4.19,1984,102,21
I2,4.18,2020,77,10
G14,4.17,1981,137,18
B11,4.16,1980,149,16
J2,4.16,1981,82,6
B17,4.16,1982,112,21
F13,4.16,1995,89,16
C14,4.15,1982,98,17
K5,4.15,2020,65,11
E16,4.15,2020,99,11
H3,4.14,1979,121,13
F2,4.14,1980,135,20
K12,4.13,1995,174,12
K9,4.13,1995,178,6
D4,4.13,2020,141,10
K2,4.12,1981,56,4
B18,4.12,1981,91,17
B20,4.12,1984,187,10
D21,4.11,1979,57,6
D21,4.11,1980,57,6
K8,4.11,1987,248,15
E19,4.1,1980,48,4
E1,4.1,1982,100,19
H10,4.1,1987,206,16
E1,4.09,1979,57,14
F21,4.08,1984,149,4
G15,4.08,1987,185,17
K11,4.07,1987,201,20
I2,4.07,1995,75,7
K12,4.06,1979,95,13
I10,4.06,1981,102,20
B4,4.06,1981,90,19
G11,4.06,1987,109,9
B13,4.05,1980,151,16
K12,4.05,1982,113,17
F9,4.05,2020,126,8
K11,4.04,1981,182,19
D10,4.04,1982,95,23
H15,4.04,2020,99,10
K1,4.04,2020,81,15
C4,4.03,1980,128,15
E10,4.02,1979,96,13
E16,4.02,2005,242,17
A1,4.02,2005,85,10
F10,4.01,1984,93,11
J10,4.01,1984,123,12
A4,4.01,1987,143,13
H9,4,1980,181,18
B3,4,1984,211,12
L11,4,1984,109,12
C15,3.99,1979,80,19
I2,3.99,1981,78,12
F1,3.99,1982,139,25
C15,3.99,2005,69,7
B18,3.97,1980,77,17
C14,3.97,1980,123,18
D12,3.96,1980,106,15
E10,3.96,1980,119,19
J3,3.96,1984,187,10
B12,3.96,2005,113,12
F18,3.96,2005,229,9
C21,3.95,1981,110,25
F19,3.95,1981,128,9
B11,3.95,1982,119,14
C14,3.95,2020,171,12
J1,3.94,2005,69,11
K10,3.94,2020,232,13
K8,3.93,1979,121,11
I10,3.93,1980,128,19
K12,3.93,1981,112,17
K4,3.93,2020,116,11
I2,3.92,1980,112,11
J10,3.92,1981,76,20
F1,3.92,1981,146,25
B15,3.92,1982,74,17
D13,3.92,2020,165,13
F1,3.91,2020,77,14
H2,3.9,1979,105,19
F19,3.9,1979,135,7
J16,3.9,2005,240,4
B11,3.89,1979,126,15
B22,3.89,1995,161,20
E22,3.89,1995,83,5
E18,3.89,1995,123,9
D13,3.88,1984,137,11
H6,3.88,2020,129,14
F19,3.87,1980,123,9
E10,3.87,1981,143,21
K12,3.87,1984,264,14
K11,3.87,1995,125,11
E5,3.87,2020,60,13
B1,3.86,1984,99,18
K1,3.86,1987,127,8
K10,3.86,1995,102,9
E18,3.85,1979,136,13
D17,3.85,1979,46,13
L8,3.85,1995,131,7
H16,3.85,2020,143,8
B3,3.84,1979,81,13
C14,3.83,1979,95,14
H15,3.83,2005,72,11
G11,3.83,2005,115,9
E15,3.82,1979,65,9
K8,3.82,1980,112,11
F18,3.82,1995,131,16
E17,3.81,1980,134,19
K11,3.81,1984,240,13
F19,3.81,1987,227,17
J5,3.81,1995,254,14
E22,3.81,2005,114,6
A1,3.8,1987,107,17
I11,3.8,1995,153,15
B14,3.79,1979,112,17
B8,3.79,1980,100,15
B19,3.79,1984,224,15
L7,3.79,1995,170,7
F1,3.78,1984,134,12
B10,3.78,2020,111,11
K3,3.78,2020,104,9
I1,3.77,1995,132,13
F16,3.76,1980,110,13
E15,3.76,1982,113,17
D11,3.76,2020,74,11
F16,3.75,1979,103,12
L7,3.75,1987,202,15
E22,3.75,1987,114,6
F20,3.75,2005,166,6
C13,3.75,2020,162,15
K12,3.73,1980,128,17
L5,3.73,1982,82,14
E18,3.73,1987,237,15
B3,3.72,1980,95,14
E21,3.72,1995,53,7
B3,3.71,1981,87,15
J2,3.71,1982,59,7
L3,3.71,2005,91,6
A19,3.71,2020,111,8
C14,3.7,1981,106,18
H2,3.7,1987,127,20
J12,3.69,1987,127,16
B4,3.69,1995,102,8
L4,3.68,1982,78,14
K3,3.68,1987,114,9
E17,3.68,1995,111,18
B21,3.68,1995,113,10
C21,3.67,1980,132,23
B19,3.66,1980,138,15
E1,3.66,1980,61,14
K10,3.65,2005,288,7
E19,3.65,2020,85,2
E10,3.64,1982,96,15
A5,3.64,1995,88,7
G19,3.64,2020,128,5
K11,3.63,1982,99,18
A23,3.62,2005,69,7
K9,3.62,2020,128,11
K8,3.61,1981,120,14
A4,3.61,1995,115,7
J1,3.6,1981,83,13
I1,3.6,1981,112,24
B22,3.59,1980,107,15
G11,3.59,1981,74,14
L5,3.58,1984,111,6
L7,3.56,1984,195,11
G1,3.55,1984,119,11
B22,3.55,2020,188,7
F12,3.54,2020,59,8
G13,3.53,1987,162,9
K3,3.53,1995,73,10
E5,3.53,1995,104,17
J10,3.52,1987,172,20
C23,3.52,2020,93,9
B19,3.51,1979,121,13
B18,3.51,1979,85,15
J10,3.51,1979,97,11
H2,3.51,1980,134,18
E9,3.5,2020,48,4
L6,3.49,1979,137,15
B19,3.49,1982,129,21
B15,3.49,1984,207,11
C14,3.49,2005,110,7
I1,3.48,1980,121,22
E18,3.48,1980,169,13
L3,3.48,1995,124,7
A4,3.48,2020,194,7
H4,3.47,1979,103,14
G11,3.47,1980,66,14
B18,3.47,1982,98,17
B8,3.46,1979,80,14
J10,3.46,1980,110,17
B11,3.46,1984,163,9
B24,3.46,1987,179,17
B21,3.46,2005,90,8
B22,3.45,1979,87,11
L6,3.45,1981,145,15
E19,3.45,1982,55,5
F8,3.45,1984,247,13
B4,3.45,2005,159,6
G12,3.45,2005,203,11
H11,3.45,2020,145,14
B15,3.44,1981,55,11
I2,3.44,1984,61,5
I2,3.44,2005,39,8
B6,3.44,2005,131,12
E18,3.43,1981,174,13
B18,3.43,1984,176,18
I12,3.43,1987,198,15
A14,3.43,1995,105,9
L6,3.42,1982,106,15
F1,3.41,1980,121,23
K9,3.41,1980,168,18
A4,3.41,1981,100,10
D4,3.41,2005,106,9
B11,3.41,2020,107,8
E17,3.4,1982,112,18
B22,3.4,1982,105,15
K1,3.4,2005,55,7
J2,3.39,1979,79,5
B3,3.39,1982,99,13
B15,3.39,2020,178,8
E5,3.38,1979,96,10
K10,3.38,1987,197,15
B14,3.38,2005,193,8
J11,3.36,1995,177,19
H11,3.36,2005,74,12
G19,3.36,2005,104,10
G13,3.35,1982,84,12
B17,3.35,1984,234,19
B1,3.35,1987,129,18
B14,3.35,1995,167,11
A22,3.35,1995,120,11
J2,3.34,1980,83,5
H10,3.34,1981,91,14
A4,3.34,1982,82,9
F19,3.34,1984,225,14
F10,3.34,1987,169,21
I15,3.34,2005,154,9
C21,3.33,1979,115,19
J1,3.33,1980,113,8
K2,3.33,1987,113,6
I15,3.33,2020,200,9
G1,3.32,1982,68,19
D20,3.32,1995,66,5
G11,3.32,2020,57,8
G13,3.31,1979,85,8
L6,3.31,1980,151,15
J11,3.31,1981,124,12
K9,3.31,1981,170,18
G13,3.31,1981,71,8
K13,3.31,2005,218,9
E19,3.29,1981,73,5
D12,3.29,2005,252,11
J9,3.28,1980,138,15
B21,3.28,2020,287,6
L7,3.27,1982,59,16
K12,3.27,2005,232,8
I1,3.26,1979,151,21
K9,3.26,1979,125,10
F1,3.26,1979,172,22
A2,3.23,1980,102,12
G1,3.23,1981,99,23
H10,3.22,1982,90,16
B17,3.22,2020,199,11
I12,3.22,2020,23,11
F12,3.21,1981,105,9
H15,3.21,1982,71,13
A12,3.2,1981,178,9
H2,3.2,1981,121,20
K17,3.2,2005,94,7
J11,3.19,1979,105,10
A12,3.19,1980,163,9
L12,3.18,2005,11,5
H20,3.17,2020,84,7
G1,3.16,1980,102,17
J9,3.16,1987,190,17
G15,3.15,1980,112,20
E19,3.14,1995,35,5
G15,3.13,1981,102,19
K2,3.13,1984,93,2
F12,3.12,1979,109,8
J9,3.12,1982,134,18
G16,3.11,1979,71,10
B20,3.11,1981,151,18
E5,3.11,1984,85,9
B7,3.11,2020,138,8
H11,3.1,1995,144,15
E18,3.09,1982,132,13
G13,3.07,2005,176,8
K2,3.07,2020,95,10
J11,3.06,1980,121,13
L13,3.06,1981,18,3
B20,3.06,1982,106,18
K9,3.05,1982,115,18
I2,3.05,1987,111,7
B20,3.04,1980,132,16
E15,3.04,1981,160,15
A5,3.04,2020,158,7
I13,3.04,2020,75,9
I12,3.03,1979,76,8
B14,3.03,1982,150,22
A23,3.01,2020,75,6
G15,3,1979,94,18
F21,3,1982,143,8
G15,3,1982,110,18
F18,2.99,1987,266,19
G21,2.99,2005,67,6
B18,2.99,2020,169,14
G11,2.98,1979,61,11
G15,2.98,1984,180,16
E20,2.98,1995,54,7
K2,2.98,1995,94,9
J9,2.97,1981,116,16
K7,2.97,2020,128,11
I9,2.94,1984,110,11
I12,2.94,2005,106,6
E19,2.93,1979,55,5
A11,2.93,2005,136,9
I12,2.92,1984,199,14
A9,2.92,2005,174,7
G16,2.9,1981,83,13
L11,2.9,2005,82,3
A11,2.88,2020,34,4
A2,2.87,2005,134,8
D23,2.87,2005,85,8
I14,2.87,2020,103,9
B22,2.86,1984,180,13
G1,2.85,1979,71,19
K9,2.84,2005,198,5
K4,2.82,1984,131,10
L7,2.81,1980,152,16
H2,2.81,1982,152,21
I1,2.81,1982,183,27
A25,2.81,1995,128,7
L10,2.81,2005,27,3
K1,2.8,1980,86,14
F fence,2.8,2005,84,6
B20,2.79,1979,107,16
A2,2.78,1995,194,10
H13,2.78,2020,81,10
G16,2.77,1980,77,11
A9,2.77,2020,196,6
L9,2.76,1984,63,5
A7,2.76,1984,242,10
F18,2.76,2020,148,8
E15,2.75,1980,121,13
H3,2.75,1980,125,12
A23,2.75,1982,173,8
A2,2.75,1987,171,9
E17,2.75,2005,122,12
F18,2.73,1979,123,12
H15,2.73,1980,91,15
B21,2.73,1981,134,16
L4,2.73,1995,200,8
H15,2.72,1981,89,15
E22,2.72,1982,82,15
L6,2.72,1995,204,11
H15,2.71,1979,85,13
B23,2.71,1982,104,15
J15,2.71,2005,129,4
L3,2.7,1984,97,6
F21,2.7,1995,60,7
J15,2.7,2020,198,5
H1,2.69,1984,171,9
I9,2.69,1987,147,12
I15,2.68,1995,168,9
A5,2.67,1987,291,15
A3,2.66,1984,266,14
F20,2.66,1984,224,15
J9,2.65,1979,111,12
L9,2.65,1995,116,8
F18,2.64,1980,146,14
D8,2.64,2005,104,12
J12,2.63,1984,149,14
L11,2.63,1987,169,7
A2,2.62,1984,214,6
J19,2.62,2005,16,5
L4,2.62,2005,68,6
I12,2.61,1981,61,11
L6,2.6,1987,196,15
L10,2.6,1995,73,12
I13,2.6,2005,72,11
D19,2.6,2020,100,3
A12,2.59,1982,132,10
G13,2.58,1980,128,8
D20,2.58,1984,90,5
A22,2.57,2005,44,7
B23,2.57,2020,124,10
A2,2.56,1981,129,15
E8,2.56,2020,125,4
L4,2.54,1979,54,8
B24,2.54,2020,204,5
A4,2.53,1979,129,9
H13,2.53,1984,113,13
A11,2.52,1984,284,6
A8,2.52,1984,233,7
H12,2.52,1995,159,12
K10,2.51,1984,113,8
H10,2.5,1979,98,11
A18,2.5,1995,90,13
A9,2.5,1995,107,9
K13,2.49,1979,102,20
L4,2.49,1981,59,9
E18,2.49,2005,180,11
B21,2.48,1982,123,18
A22,2.48,2020,60,6
J11,2.47,1982,139,15
F13,2.47,1987,130,17
J1,2.44,1979,95,8
A24,2.44,2020,88,5
L1,2.44,2020,111,5
K1,2.43,1979,99,15
F12,2.43,1980,132,8
H13,2.43,2005,44,13
E19,2.43,2005,218,6
A2,2.42,1979,104,11
L7,2.42,1981,78,16
A17,2.42,1995,118,16
A4,2.41,1980,135,8
A25,2.41,2005,116,10
A2,2.39,1982,161,14
I11,2.38,2005,187,5
L7,2.36,1979,97,14
H10,2.36,1980,111,13
A7,2.35,1980,183,11
G16,2.35,1982,82,15
J12,2.35,1995,133,9
K11,2.35,2020,161,11
I14,2.34,2005,162,6
K10,2.32,1980,140,14
A10,2.32,1987,168,10
A12,2.32,2020,231,11
G16,2.31,1984,130,15
I14,2.31,1995,193,7
K8,2.31,2020,172,8
F18,2.29,1981,140,15
A4,2.27,2005,90,6
F19,2.26,1982,84,9
L5,2.26,1987,170,10
H12,2.26,2020,91,12
K2,2.25,2005,71,5
A3,2.24,1982,126,16
A7,2.24,1987,251,15
B22,2.24,2005,139,6
L1,2.23,1980,91,14
A3,2.23,1987,285,11
A5,2.23,2005,254,11
K10,2.22,1982,113,15
G12,2.22,2020,98,7
J13,2.2,1995,178,13
B15,2.19,1979,95,8
B15,2.18,1980,117,11
H15,2.18,1995,97,18
K8,2.18,2005,243,5
A3,2.17,1995,71,11
B1,2.16,1982,96,18
A3,2.14,1979,137,12
I12,2.14,1982,81,12
H15,2.13,1987,171,12
K13,2.12,1981,107,22
E18,2.12,2020,137,5
A1,2.11,1981,145,23
I11,2.11,2020,123,10
B1,2.1,1980,92,14
A1,2.1,1982,123,22
H13,2.09,1995,137,15
A8,2.07,2005,216,14
A11,2.06,1979,110,14
A11,2.06,1987,190,14
L1,2.06,1987,140,10
H14,2.06,1995,78,17
A23,2.06,1995,90,5
L6,2.06,2005,86,6
A21,2.06,2020,36,6
I13,2.05,1995,132,14
A23,2.04,1979,135,6
F18,2.04,1984,139,13
A11,2.03,1981,107,15
L10,2.03,1987,194,10
A13,2.02,1979,94,8
H12,2.02,1979,101,14
J11,2.02,1984,190,11
L8,2,1980,65,9
A7,2,1995,150,7
A14,2,2020,33,5
B14,1.99,2020,167,8
L11,1.99,2020,148,5
K13,1.98,1987,185,12
K10,1.97,1979,118,13
A9,1.96,1987,213,14
B23,1.95,1980,87,13
A16,1.95,1984,171,9
H8,1.95,1987,106,9
I9,1.94,1979,118,13
A14,1.93,1987,68,12
A10,1.93,1995,58,12
A1,1.91,1980,148,18
L8,1.91,1981,147,12
I12,1.91,1995,129,7
A17,1.91,2005,75,8
A20,1.91,2020,107,6
J1,1.9,1984,124,7
H11,1.89,1984,205,14
F18,1.88,1982,110,15
A23,1.88,1987,193,17
A3,1.87,1980,140,14
K1,1.87,1984,79,7
A23,1.86,1980,148,7
K1,1.86,1982,91,14
I14,1.86,1987,267,12
A6,1.85,1981,130,17
K1,1.85,1995,100,14
A16,1.84,2020,70,6
I9,1.83,1981,105,17
B24,1.83,1984,192,18
L8,1.83,1987,172,15
A16,1.83,2005,52,6
A10,1.82,1981,113,9
B24,1.82,1982,130,13
H1,1.82,1987,120,13
H12,1.82,2005,169,11
A10,1.81,1984,216,9
A6,1.8,1984,150,8
L6,1.8,2020,106,7
A6,1.79,1980,149,13
I1,1.79,1987,126,14
H12,1.78,1980,118,13
H15,1.78,1984,180,7
B24,1.77,1979,120,13
H12,1.77,1982,83,14
A10,1.77,2005,98,12
H1,1.76,1981,55,20
K1,1.76,1981,80,16
L3,1.75,2020,53,6
A12,1.74,1987,218,12
A24,1.74,1995,214,10
K10,1.72,1981,101,15
A21,1.71,1995,101,17
I9,1.7,1982,91,14
L11,1.7,1982,139,12
L11,1.7,1995,53,8
B23,1.69,2005,104,7
J12,1.68,2020,25,7
A11,1.67,1982,132,16
K6,1.67,2020,115,11
A25,1.67,2020,45,4
H16,1.66,1981,152,14
H16,1.66,1995,104,14
B23,1.65,1995,213,14
A13,1.64,1987,291,12
H16,1.64,1987,222,12
J12,1.64,2005,114,9
L17,1.63,2005,68,6
D20,1.63,2020,95,2
A6,1.62,1979,133,14
B23,1.62,1987,176,12
K13,1.62,1995,133,10
L9,1.61,1987,163,11
L1,1.6,1982,162,16
L1,1.6,1984,131,8
B24,1.59,1981,179,14
L6,1.59,1984,163,14
L7,1.58,2005,31,8
B1,1.57,1979,107,20
A5,1.57,1980,140,11
A5,1.55,1979,116,10
B21,1.55,1980,125,15
A6,1.55,1982,156,17
K13,1.54,1980,81,20
L2,1.54,1987,78,9
A6,1.54,1995,155,13
A12,1.54,1995,78,13
B24,1.52,1980,117,12
H12,1.49,1981,126,14
A12,1.49,1984,193,11
K11,1.48,2005,124,4
B21,1.47,1979,118,14
L12,1.47,2020,15,5
E22,1.46,1979,81,8
E22,1.46,1980,94,12
A3,1.46,1981,177,15
I9,1.45,1980,131,15
L10,1.45,1984,93,10
B24,1.45,2005,143,9
A15,1.44,1981,133,14
J13,1.43,1984,179,20
L10,1.43,2020,49,8
J1,1.42,2020,127,8
L14,1.41,2005,32,8
L2,1.4,1980,132,14
A11,1.4,1980,86,13
L2,1.38,1982,105,14
A14,1.37,1979,126,16
A23,1.37,1981,183,8
I15,1.37,1987,139,13
L8,1.36,1982,47,12
A5,1.36,1984,124,4
J13,1.36,1987,154,4
A21,1.36,2005,28,4
A5,1.35,1981,127,16
L1,1.34,1981,68,18
H12,1.34,1984,158,9
L12,1.34,1995,131,7
L1,1.32,1995,94,8
A14,1.31,1981,61,15
H16,1.3,1984,126,8
A13,1.3,1995,54,8
L13,1.3,2005,30,9
A10,1.29,1982,156,10
L2,1.29,1995,107,6
H14,1.28,1981,93,15
I1,1.27,1984,114,10
A19,1.27,1987,240,9
G20,1.27,2005,196,7
A16,1.26,1982,102,18
A15,1.26,1987,194,15
L5,1.26,1995,164,16
H1,1.24,1980,90,15
A7,1.24,1982,121,15
I13,1.24,1984,162,13
A3,1.24,2005,33,11
G13,1.24,2020,210,4
L12,1.22,1981,138,11
A11,1.22,1995,146,7
A15,1.21,1980,118,11
A1,1.2,2020,65,5
A7,1.17,1979,111,10
L12,1.17,1984,231,13
J12,1.15,1982,78,16
A10,1.15,2020,86,6
J12,1.14,1981,80,15
A13,1.14,1981,73,7
I14,1.14,1982,147,17
A5,1.14,1982,110,12
I13,1.14,1987,193,16
A6,1.14,1987,169,9
A15,1.11,1979,90,8
F21,1.11,1987,241,14
L2,1.1,1979,106,13
A9,1.08,1979,111,6
L11,1.08,1980,105,11
K12,1.08,2020,143,9
A15,1.07,1984,241,12
L8,1.06,1979,50,5
L2,1.05,1981,116,15
A8,1.05,1987,212,16
A12,1.05,2005,94,11
L2,1.05,2005,66,11
J12,1.03,1979,90,11
A22,1.03,1981,96,10
I14,1.03,1981,139,13
L10,1.03,1982,140,16
L4,1.03,2020,138,7
A15,1.02,1982,65,13
A19,1.01,2005,141,6
B23,1,1981,128,11
A8,1,1995,145,5
A6,1,2005,95,10
A1,0.99,1979,88,14
A9,0.99,1980,121,6
A21,0.99,1980,118,11
A18,0.99,1987,273,14
I14,0.98,1980,151,12
H16,0.98,1982,123,17
A8,0.98,2020,41,4
B23,0.97,1979,74,9
L15,0.97,2005,178,4
L7,0.97,2020,38,10
A22,0.96,1979,94,9
H16,0.96,1980,115,14
A20,0.95,1979,108,13
H14,0.94,1980,86,14
L9,0.94,1982,118,12
A9,0.93,1981,110,7
A22,0.93,1982,147,11
H11,0.93,1987,163,12
A14,0.92,2005,49,5
A15,0.92,2020,51,5
L1,0.91,1979,66,12
I13,0.91,1982,85,15
A14,0.9,1982,151,19
H11,0.9,1982,106,16
A9,0.9,1984,132,5
A17,0.9,1984,178,9
A13,0.9,2020,126,8
A21,0.89,1979,123,9
A7,0.89,1981,157,12
A22,0.88,1987,178,14
A9,0.87,1982,124,7
A22,0.87,1984,151,10
L5,0.85,2005,34,7
A10,0.84,1980,106,8
I14,0.84,1984,223,13
H14,0.83,1984,185,14
H1,0.82,1979,85,11
L10,0.81,1981,101,18
J12,0.8,1980,107,12
A18,0.8,1984,161,13
A4,0.79,1984,185,12
H14,0.79,1987,165,11
A7,0.79,2005,52,8
A13,0.78,1980,120,8
A8,0.78,1982,129,15
H16,0.77,1979,88,12
L10,0.77,1980,130,17
A10,0.76,1979,99,8
A8,0.76,1979,86,14
I13,0.76,1980,106,13
L12,0.76,1987,205,15
L9,0.76,2005,34,5
A2,0.75,2020,16,6
L13,0.75,2020,20,2
L5,0.75,2020,106,7
A8,0.74,1980,115,14
H12,0.74,1987,188,19
A23,0.73,1984,157,4
A19,0.73,1984,193,19
A15,0.73,1995,172,17
H14,0.72,1979,74,13
A13,0.72,1984,174,10
I15,0.71,1981,82,14
H13,0.71,1987,205,11
J13,0.7,1981,76,17
B23,0.7,1984,69,5
A20,0.69,1982,130,14
H1,0.69,1982,116,19
I14,0.68,1979,68,9
L8,0.68,1984,59,4
A14,0.66,1980,115,16
I13,0.64,1981,87,17
K13,0.64,1982,164,20
L2,0.64,2020,194,7
A21,0.62,1982,151,15
A13,0.6,1982,94,7
A6,0.6,2020,5,2
A17,0.59,1980,88,13
A19,0.59,1981,88,10
L12,0.58,1982,157,12
I15,0.57,1982,89,12
H14,0.57,1982,106,15
I15,0.57,1984,140,9
L13,0.57,1995,122,6
L16,0.57,2005,105,10
I15,0.56,1980,84,12
A16,0.56,1980,97,13
H11,0.56,1981,110,16
A14,0.56,1984,197,10
A18,0.55,1982,112,10
L8,0.55,2020,80,7
A7,0.53,2020,36,4
A16,0.52,1981,133,16
L13,0.52,1984,118,12
A17,0.52,2020,63,10
L9,0.5,1981,118,14
A18,0.49,1979,82,6
A17,0.49,1982,111,17
H11,0.48,1980,69,11
J13,0.46,1980,109,16
A21,0.45,1981,147,11
A20,0.45,1987,262,15
L12,0.44,1980,167,11
A18,0.44,1981,111,8
A8,0.44,1981,130,15
A20,0.44,1995,158,14
L12,0.43,1979,95,11
A17,0.43,1979,93,10
I15,0.43,1979,61,8
J13,0.42,1982,118,18
L9,0.4,1979,58,8
L11,0.4,1981,115,11
A24,0.4,2005,30,7
A19,0.39,1982,122,11
A21,0.39,1984,227,9
L9,0.39,2020,165,5
A17,0.38,1981,108,17
L11,0.37,1979,57,7
K13,0.37,1984,115,8
A22,0.36,1980,96,10
A13,0.34,2005,117,7
L8,0.34,2005,65,9
A18,0.32,1980,78,6
A18,0.32,2020,28,4
A19,0.31,1995,109,16
A15,0.28,2005,71,4
A16,0.27,1979,95,12
A20,0.26,1980,73,11
A25,0.26,1982,101,6
A19,0.25,1979,108,10
L13,0.25,1987,115,5
A19,0.24,1980,76,11
J13,0.23,1979,110,14
A21,0.23,1987,217,12
A3,0.23,2020,43,8
H13,0.21,1980,102,11
L9,0.21,1980,102,11
A20,0.21,1981,132,13
H13,0.21,1982,112,13
A20,0.2,2005,5,3
A16,0.18,1995,111,3
