plot,mean_wt_c,year,total_cover,total_richness
E7,6.72,2005,97,14
H6,6.71,1979,99,12
K3,6.71,1981,87,3
J4,6.71,1987,149,16
E3,6.71,2005,104,19
I8,6.7,1979,97,18
G6,6.7,1981,84,17
B1,6.7,2005,63,17
F14,6.69,1981,96,17
C7,6.69,1981,201,27
E2,6.69,1981,67,20
I6,6.68,1981,91,14
J6,6.68,1981,97,13
G8,6.68,1981,106,18
F6,6.68,1982,87,11
C7,6.68,1984,206,13
I3,6.68,1987,169,18
G3,6.67,1987,202,16
E2,6.67,2005,78,15
F7,6.66,1981,131,19
D3,6.66,1987,194,16
D18,6.65,1982,68,2
D21,6.65,1984,98,3
I7,6.65,2020,100,12
G8,6.64,2020,90,13
C2,6.63,1982,94,18
I5,6.63,1984,144,11
F16,6.63,1995,119,12
C4,6.62,1984,168,14
C6,6.62,1984,183,17
D18,6.61,1984,114,2
E16,6.61,1987,206,14
E20,6.59,1980,58,2
J6,6.57,1979,77,12
G9,6.57,1979,69,19
D19,6.57,1981,69,3
C12,6.57,1984,142,11
D15,6.57,1995,108,19
C19,6.56,1980,82,5
J5,6.56,1980,151,16
G7,6.56,1982,106,21
J10,6.56,2020,75,16
K7,6.55,1980,110,19
E21,6.55,1984,115,4
E1,6.54,2005,87,16
E13,6.54,2020,134,17
K5,6.53,1980,101,17
J8,6.53,1982,118,17
G4,6.53,1984,131,11
D15,6.53,1984,148,15
D19,6.53,1984,95,2
B2,6.53,2005,70,16
D18,6.52,1980,58,4
C18,6.52,1981,89,24
C16,6.52,1987,169,19
E6,6.52,2005,153,10
D19,6.51,1980,68,3
J4,6.51,1982,122,20
E7,6.51,1995,115,18
D2,6.5,1995,129,18
C23,6.5,2005,18,5
H9,6.5,2020,113,14
F14,6.5,2020,133,13
G8,6.49,1979,90,16
C2,6.49,1981,74,19
F4,6.49,1984,166,18
C19,6.48,1981,92,4
D7,6.48,2005,118,14
G3,6.48,2005,139,12
H5,6.48,2020,85,12
G4,6.48,2020,126,17
I5,6.47,1995,178,15
C18,6.46,1980,92,23
C5,6.46,1987,181,20
F4,6.46,1995,132,20
F11,6.45,1987,144,19
F14,6.44,1979,99,18
I8,6.44,1982,108,19
D17,6.43,1984,127,7
D14,6.43,2005,77,15
G6,6.42,1980,90,15
E4,6.42,1980,149,17
C13,6.42,1982,67,12
F5,6.42,2020,64,13
F7,6.41,1980,176,18
C11,6.41,1981,141,19
B19,6.41,2020,131,12
E12,6.4,1980,125,15
F11,6.4,1995,177,18
C2,6.4,1995,116,18
C1,6.4,1995,96,14
C13,6.39,1980,80,12
E7,6.38,1980,138,22
F2,6.38,1987,113,14
E14,6.38,2005,143,13
D19,6.37,1979,81,3
I7,6.37,1995,175,16
I7,6.36,1984,247,10
K5,6.35,1981,81,17
E12,6.35,1982,85,17
C21,6.35,2005,113,8
I10,6.35,2020,92,16
G3,6.35,2020,136,15
C18,6.34,1982,80,24
C7,6.33,1980,175,23
H6,6.33,1982,100,12
I7,6.33,1982,85,18
J8,6.33,2020,85,9
K5,6.32,1979,77,16
G8,6.32,1987,164,21
B6,6.32,1987,260,17
I8,6.31,1981,121,18
E21,6.31,1981,52,3
I10,6.31,1987,147,19
J5,6.3,1981,117,18
C12,6.3,1981,105,13
C19,6.29,1979,58,5
D13,6.28,2005,99,16
F15,6.27,1980,111,21
H5,6.27,1995,164,14
J4,6.27,2005,95,15
C16,6.27,2005,99,13
J4,6.26,1979,129,18
I8,6.26,1980,96,17
F3,6.26,1980,152,16
K6,6.26,1981,86,16
C23,6.26,1995,169,14
C2,6.25,1979,75,13
D2,6.25,1979,93,15
E20,6.25,1982,80,2
D12,6.25,1987,187,17
C19,6.25,1995,72,5
F3,6.24,1979,160,19
G8,6.24,1980,100,17
E11,6.24,1987,196,15
B1,6.24,2020,51,11
B7,6.23,1982,144,13
D19,6.23,1987,128,4
I8,6.23,2005,158,8
G2,6.23,2020,126,18
E21,6.22,1979,69,4
D18,6.22,1981,81,5
C17,6.22,1984,77,9
B13,6.22,1987,275,18
I7,6.22,2005,99,12
C3,6.22,2005,118,12
F17,6.22,2005,82,10
C16,6.21,1981,90,18
I4,6.21,1987,211,16
G3,6.21,1995,207,13
I4,6.21,2005,70,13
B20,6.21,2020,160,8
B7,6.2,1979,137,12
D7,6.2,1995,132,19
G9,6.19,1981,94,24
E4,6.19,1982,88,20
F7,6.19,1987,229,24
E14,6.19,2020,154,18
D3,6.18,1981,101,16
E21,6.18,1982,55,3
F15,6.18,1984,157,17
H3,6.18,2005,78,16
E2,6.18,2020,136,17
C11,6.17,1979,114,12
F14,6.17,1980,119,18
G9,6.17,1982,81,21
D16,6.17,1987,183,22
E21,6.16,1980,70,4
G3,6.16,1984,190,18
J2,6.16,2005,68,9
J4,6.16,2020,95,18
D16,6.15,1980,110,15
