chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,35.860805132210466,0.4375493236407031,81.95831462799343,4.003676526431665e-6
SW 1-2,min_elapsed,32.020245687153405,0.6268055023203193,51.084819084421426,1.651948052164956e-5
SW 1-3,min_elapsed,29.635298560395757,0.6040824463749845,49.05836734411519,1.8650145873446588e-5
SW 1-4,min_elapsed,24.13724539621527,0.42943850960652447,56.20652283450583,1.2405546912412421e-5
SW 2-1,min_elapsed,51.056784563294805,1.7010835378965394,30.01427233046335,8.123711324648758e-5
SW 2-2,min_elapsed,34.26709223607671,1.1876702018893377,28.852363376267963,9.142219131782415e-5
SW 2-3,min_elapsed,36.982624295342696,1.8524075320685065,19.96462638761015,2.7464931560316336e-4
SW 2-4,min_elapsed,43.57931072984134,3.290582244773583,13.243647320791986,9.302614783309678e-4
UP 1-1,min_elapsed,46.734457813097634,1.3938867495530167,33.52815989396855,5.832470183193801e-5
UP 1-2,min_elapsed,38.01838772837012,1.4615090774984583,26.013104067367813,1.246202289334579e-4
UP 1-3,min_elapsed,45.46728255599583,1.3530891912491152,33.60257612731526,5.7938880712756325e-5
UP 1-4,min_elapsed,40.03826649470567,1.7614601918007018,22.730156878410877,1.8648573145354087e-4
UP 2-1,min_elapsed,35.407973305184726,1.664549016495664,21.271811736567724,2.2730700529638797e-4
UP 2-2,min_elapsed,34.6600000491566,1.8052351103478361,19.199715234033004,3.0857539090550697e-4
UP 2-3,min_elapsed,27.318345971453443,1.29375184110158,21.115599687334875,2.32361949224954e-4
UP 2-4,min_elapsed,36.42160775875697,2.1092016781314906,17.267958837877615,4.2318390210638085e-4
