gc_run_date,filename,co2_height,ch4_height,n2o_height
2023-05-23,032323_002,967550,10161,13390
2023-05-23,032323_004,978955,9999,13458
2023-05-23,032323_005,970230,9947,13367
2023-05-23,032323_006,962351,10006,13407
2023-05-23,032323_014,959721,9790,13506
2023-05-23,032323_022,970844,9925,13823
2023-05-23,032323_030,972238,9939,13978
2023-05-23,032323_038,963653,9807,13824
2023-05-23,032323_046,970748,9999,13953
2023-05-23,032323_054,970991,9983,13972
2023-05-23,032323_062,960533,9874,13808
2023-05-23,032323_070,971808,9993,14054
2023-05-24,032323_078,961566,9881,13837
