gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2022-12-05,221019_002,982820,10175,17055,FALSE
2022-12-05,221019_003,988282,10286,202,FALSE
2022-12-05,221019_004,992835,10342,17349,FALSE
2022-12-05,221019_005,998525,10457,17485,FALSE
2022-12-05,221019_006,995665,10489,17346,FALSE
2022-12-05,221019_016,959364,9853,16309,FALSE
2022-12-05,221019_027,952728,9867,16842,FALSE
2022-12-06,221019_029,997607,10599,279,FALSE
2022-12-06,221019_030,997268,10633,17131,FALSE
2022-12-06,221019_031,1000656,10646,17565,FALSE
2022-12-06,221019_032,999905,10638,17508,FALSE
2022-12-06,221019_033,917984,9420,15358,FALSE
2022-12-06,221019_034,1003838,10636,17766,FALSE
2022-12-06,221019_035,938340,9806,15578,FALSE
2022-12-06,221019_046,1037935,10465,18451,FALSE
2022-12-06,221019_047,1015189,10545,17673,FALSE
2022-12-07,221019_053,991670,10300,316,FALSE
2022-12-07,221019_054,1000901,10617,16209,FALSE
2022-12-07,221019_055,1006861,10843,16582,FALSE
2022-12-07,221019_056,1001026,10831,16536,FALSE
2022-12-07,221019_057,1000308,10743,16587,FALSE
2022-12-07,221019_063,996816,10651,372,FALSE
2022-12-07,221019_069,1004890,10636,606,FALSE
2022-12-07,221019_080,969410,10168,532,FALSE
2022-12-08,221019_086,1016452,10870,16828,FALSE
2022-12-08,221019_087,1012879,10895,512,FALSE
2022-12-08,221019_088,1004805,10817,16966,FALSE
2022-12-08,221019_089,992998,10696,16827,FALSE
2022-12-08,221019_090,1001152,10863,17088,FALSE
2022-12-15,221019_097,931241,10221,297,FALSE
2022-12-15,221019_098,924942,10252,15815,FALSE
2022-12-15,221019_099,912454,10135,15802,FALSE
2022-12-15,221019_100,903731,10015,15518,FALSE
2022-12-15,221019_101,910671,10058,15915,FALSE
2022-12-19,221019_111,963356,10462,74,FALSE
2022-12-19,221019_112,976133,10673,94,FALSE
2022-12-19,221019_113,981544,10658,47,FALSE
2022-12-19,221019_114,979426,10617,15495,FALSE
2022-12-19,221019_115,980012,10607,15580,FALSE
